"EVESHAM, BENGEWORTH - Observer Mason",,,,,,,,,,,
Grid ref,,Long,,Lat,,Elevation,96,ft,,,
Station no,,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,3.11,,,,,,
February,,,,,0.44,,,,,,
March,,,,,0.9,,,,,,
April,,,,,2.02,,,,,,
May,,,,,5.35,,,,,,
June,,,,,1.53,,,,,,
July,,,,,3.82,,,,,,
August,,,,,2.98,,,,,,
September,,,,,3.52,,,,,,
October,,,,,4.4,,,,,,
November,,,,,1.49,,,,,,
December,,,,,2.14,,,,,,
Total,,,,,31.7,,,,,,
,,,,,,,,,,,
Location on record simply given as 52.5 Lat.N; 1.55 Long (JacsHu),,,,,,,,,,,
TYRain_1920-1930_16_pt1-page-012.csv,,,,,,,,,,,
