UPPER-USK-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN811297,Long,-3.7315712,Lat,51.95304,Elevation,1390,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4111/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,6,1.7,7,9.25,9.2,7.2,2.4,3.7,4.9,8.5,6.25,4,7,4,11,2.5,2,7,6.5,1.75,4.5,3.74,5.6,7.85,4.95,7.4,9.45
February,,,,0.5,5.5,2.5,7.9,2.3,5.1,2.7,7.2,0.5,3.5,1.5,5.5,5,1.5,3.25,2,9.5,6,2,3,5,2.7,1.05,5.85,7.6,0.75,7.7
March,,,,3.5,1.7,2.75,3.3,1.3,2.6,5,3.8,4,1.5,1,2.8,1.5,9.5,3.25,2,3,5.5,3.5,4.5,4,4.15,3.5,5.5,1.5,5.35,2.9
April,,,,4.5,6,2.8,3.5,0.27,3.7,2.2,1.5,2.1,2,2.5,3.1,2.25,4.5,2.5,5,4.75,4.5,3.25,4,1,4.12,1.25,0.8,1.4,4.95,5.5
May,,,,3.5,2.7,2.2,2.4,5.3,0.7,2.2,3.2,8.5,6,2,5.5,3,3,3,4.75,2.5,3,4.25,2.5,3.25,4.73,1.51,2.25,4.15,1.5,2
June,,,,2,5,4.3,2.4,5.1,4.5,1.3,2,0.4,3.5,3.5,4.5,5,3,5,0.75,3.25,1,4.25,2,5,6.12,3.03,1.65,4.19,3.8,2.8
July,,,,1.5,1.3,7.75,2.6,5,11.6,6,3.6,6,5,2.5,4,3.5,3.5,3,1.25,5,1.5,3.25,5.5,5,0.67,4.5,6.25,4.65,5,5.7
August,,,,4.3,2.8,1.2,0.9,4.6,4.2,1.1,7.8,5.2,6,3.5,8,7,0.75,6.75,3.5,6.5,7.5,5.5,5.5,6.33,1.68,7.8,5.5,3.9,1.05,6.1
September,,,,6,9,4.4,3.4,2.9,1.1,2,0.8,3.5,6,5,4,8,3,6,2,9.75,5.5,3,5.5,6.5,3.05,6.45,9,10.2,0.55,6.05
October,,,,6,7.5,3.5,4.1,7.9,2.05,6.3,6.4,5.5,6.5,7,5,2.25,1.5,5.75,9.5,3.5,1.25,6,5,9.63,4.65,3.2,4.85,5.8,9.7,7.3
November,,,,1.7,7.5,6,1.9,8.5,13.75,18.5,4.2,1,3.5,10,0.75,10.25,6.25,3.5,6,8,12.5,3,7.5,10.68,4.05,2.9,3.15,3.5,9.05,13.05
December,,,,13,4,9.5,3.6,5.7,3.7,4.2,4.7,10,2.5,4,6,4.75,5.25,14.5,6.75,5,7.25,5.5,2,6.1,8.25,7.1,5.5,5.1,10.4,8
Total,,,,52.5,54.7,53.9,45.25,58.07,60.2,53.9,48.9,51.6,54.5,48.75,53.15,59.5,45.75,67.5,46,62.75,62.5,50,48.75,66.99,47.91,47.89,58.15,56.94,59.5,76.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is adjacent to site of the reservoir. Stated altitude is 100 ft. too high or the gauge is 250m West.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan to Mar 1947 readings have a comment ""…open to doubt… snow.."". Readings left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are 6 gauges in the Upper Usk area and gauges 2, 3 and 4 have significant duplications particularly up to 1954. This coupled with the lateness of the presentation of the readings and the lack or precison in the readings means these readings are suspect for the period up to 1954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
