FIRKIN LOCH LOMOND NO 1,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 338 006,Long,-4.677569,Lat,56.169417,Elevation,100,ft,,,,,,,,,,,,
Station no,RR1454,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,18.5,6.6,17,15.05,8.12,11,17.8,17.85,12.6,17.1,12,17.2,7.6,4.62
February,,,,,,,10.75,11.42,14.8,11.4,9.45,10.45,11.8,1.65,4.25,2.65,8.45,11.85,6.3,4.63
March,,,,,,,6.05,4.8,12.8,2.48,2.12,10.6,10.15,4.67,10.6,4.55,10.3,6.75,5.35,8.9
April,,,,,,,5.48,13.46,7.05,3.75,3.85,8.6,2.95,0.85,7.55,3.95,4.35,6.45,3.3,3.6
May,,,,,,,2.52,4.52,6.45,1.35,9.1,2,5.45,4.33,3.5,7.55,1.4,5.75,8.6,4.75
June,,,,,,,4.45,3.32,4.45,3.33,2.8,3.4,11.8,5.83,3.2,6.53,8.7,9.5,5.95,7.85
July,,,,,,,4.68,5.88,1.83,5.53,4.18,9.75,7.35,11.37,8,2.52,5.45,8.2,2.4,7.65
August,,,,,,,11.1,4.72,10.12,1.78,1.83,8.4,11.2,9.05,8.3,8.07,8.8,9.1,8,10
September,,,,,,,13.1,8.85,3.2,15.88,8.45,4.6,11.35,7.1,13.1,7.65,4.85,3.6,11.65,11.5
October,,,,,,,7.25,11.72,12.9,5.15,12.75,10,9.2,8.05,18.8,11.4,12.25,13.65,11.9,4.8
November,,,,,,,9.64,3.16,8.08,10.05,3.45,8.1,12.45,11.35,11.2,7.73,5.65,14.65,3.6,5.85
December,,,,,,,16.28,8.25,15.57,17.75,6.2,10.9,17.4,11.4,3.4,11.5,14.6,15,2.35,5.85
Total,,,,,,,109.8,86.7,114.25,93.5,72.3,97.8,128.9,93.5,104.5,91.2,96.8,121.7,77,80
