LANCASTER SOUTH ROAD - Southfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD478610,Long,-2.7977,Lat,54.0429,Elevation,114,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.58,4.6,5.61,2.95,3.6,5.31,4.41,3.19,5.47,3.62,1.56,6.39,5.67,3.93,4.91,2.26,6.94,3.17,1.16,0.26,1.41,3.48,6.05,5.46,2.33,4.14,3.2,1.66,2.49,6.86,2.19,2.83,,,,,,,
February,,3.93,0.46,1.89,1.95,2.87,3.78,2.93,2.89,5.05,2.13,3.55,4.01,0.72,1.58,0.88,4.29,3.56,1.68,2.55,2.94,4.56,2.81,3.05,2.24,3.88,1.3,2.7,1.38,2.73,0.74,0.32,1.56,,,,,,,
March,,5.03,4.49,1.27,3.02,2.43,2.7,1.6,4.42,1,1.8,2.02,4.27,2.37,3.44,0.75,2.69,3.37,1.42,1.72,2.74,4,3.4,1.04,3.34,3.57,4.11,2.42,3.25,3,4.21,1.56,0.57,,,,,,,
April,,0.83,3.57,1.92,1.85,2.34,1.1,3.56,2.46,2.5,1.35,2.07,2.18,0.53,1.35,1.26,2.75,1.92,2.18,1.08,1.7,1.74,4.02,1.9,1.17,1.61,2.88,1.76,1.95,2.31,1.63,1.95,2.04,,,,,,,
May,,1.05,3.96,3.26,3.61,5.12,2.11,1.83,2.1,2.78,2.05,1.81,1.6,1.75,1.88,2.39,0.51,2.34,3.36,2.24,1.96,3.91,2.11,1.26,2.65,2.52,4.08,2.06,1.61,4.1,2.62,1.62,5.74,,,,,,,
June,,3.53,4.55,4.3,4.17,0.5,4.1,1.48,0.64,1.95,1.91,2.2,5.86,2.69,0.89,5.56,4.44,3.14,4.15,4.79,3.2,2.72,4.49,3.7,0.9,2.04,2.01,0.59,1.9,1.61,3.33,1.45,3.06,,,,,,,
July,,3.55,4.25,1.05,2.97,1.97,4,3.22,0.4,0.71,2.19,6.66,5.4,3.93,2.42,3.92,3.29,5.18,0.56,4.82,5.51,6.32,5.97,2.19,6.63,2.07,5.56,2.57,6.72,2.87,2.87,2.47,1.58,,,,,,,
August,,5.66,4.66,5.4,3.4,4.68,4.32,2.96,4.83,2.08,2.49,2.02,4.57,4.73,4.7,2.36,3.81,6.62,5.1,6.19,2.88,6.8,4.14,3.12,1.79,3.08,2.08,2.19,3.34,5.42,6.57,11.47,6.33,,,,,,,
September,,4.7,2.65,6.67,4.29,1.2,8.04,4.26,1.53,7.6,3.05,3.98,8.58,2,4.28,4.75,3.42,4.32,5.01,3.57,3.7,1.7,2.44,4.9,3.87,4.36,7.54,4.22,2.04,2.95,3.96,6.79,,,,,,,,
October,,3.65,7.1,6.59,2.12,4.31,2.52,4.61,6,3.58,8.31,6.24,5.63,6.61,6.63,2.7,2.79,5.87,4.37,2.4,2.29,2.59,3.32,4.57,4.11,3.72,5.96,2.38,3.28,4.99,3.26,4.8,,,,,,,,
November,,6.25,1.95,4.45,4.45,3.45,6.21,1.35,2.48,4.24,3.04,1.73,4.65,1.88,3.66,5.23,3.34,7.77,2.7,1.24,5.4,5.73,6.71,4.99,1.85,3.51,4.62,2.76,4.97,2.29,6.48,4.45,,,,,,,,
December,,2.8,4.07,3.37,3.75,2.13,5.31,3.56,8.75,4.94,2.73,4.62,4.86,1.69,3.41,1.85,5.28,4.97,2.56,1.13,6.29,4.62,3.71,2.59,4.44,1.39,5.29,2.94,3.56,3.03,0.15,6.48,,,,,,,,
Total,44,42.56,46.31,45.78,38.53,34.6,49.5,35.77,39.69,41.9,34.67,38.46,58,34.57,38.17,36.56,38.87,56,36.26,32.89,38.87,46.1,46.6,39.36,38.45,34.08,49.57,29.79,35.66,37.79,42.68,45.55,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871 May transcription error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Observer William Roper lived at ""Southfield""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
