SILLOTH PREPARATORY SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY112538,Long,-3.38528,Lat,54.871057,Elevation,27,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,4.27,2.32,1.45,4.12,,,,,,,,,,,,,,,,,,4.49,,3.79,2.5,,1.73,4.78,3.34,4.81,4.36,5.6,1.9,3.95,3.14,3.4,5.74,1.56,0.99,4.1,3.51,3.39,2.8,4.91,4,7.01,2.45,
February,,,,3.49,2.02,1.48,1.98,,,,,,,,,,,,,,,,,,0.2,,4.71,1.41,,0.94,0.24,2.77,0.13,2.37,0.19,3.97,1.78,3.83,1.04,3,1.2,2.71,1.85,2.92,1.16,3.78,1.96,0.45,2.14,2.81,
March,,,,5.3,2.58,2.83,2.24,,,,,,,,,,,,,,,,,,0.6,,0.96,2.71,,0.73,1.85,0.72,3.44,1.38,1.68,0.95,2.19,1,2.45,2.12,5.04,3.61,2.17,1.22,0.33,2.54,2.85,3.65,2.33,1.88,
April,,,,0.79,2.3,2.88,1.05,,,,,,,,,,,,,,,,,,1.01,,1.28,1.24,1.47,0.72,1.6,1.45,2.41,1.99,3.52,3.09,0.85,2.26,0.31,0.93,1.75,1.65,1.35,2.25,2.3,2.37,1,4.29,2.6,,
May,,,,3.66,2.58,2.4,4.73,,,,,,,,,,,,,,,,,,2.66,,1.63,1.39,1.46,2.07,1.06,2.57,2.58,2.19,2.41,0.61,1.14,1.69,3.11,0.59,1.06,2.39,2.95,3.84,1.87,4.63,1.41,3.19,1.08,,
June,,,,1.74,1.5,1.7,2.45,,,,,,,,,,,,,,,,,,2.91,,3.6,2.84,6.09,1.66,2.37,6.04,1.27,1.55,3.22,2.71,2.27,2.28,4.58,1.75,0.91,0.37,0.73,3.18,3.78,3.12,2.74,3.06,4.77,,
July,,,,5.64,1.87,1.95,2.29,,,,,,,,,,,,,,,,,,3.02,,3.32,2.19,3.15,4.27,4.94,6.76,3.69,3.77,1.38,1.56,5.07,2.58,6.06,5.74,3.91,2.57,2.37,2.33,2.93,2.72,3.46,3.03,2.26,,
August,,,,4.46,3.75,3.12,5.57,,,,,,,,,,,,,,,,,7.1,3.23,,2.55,4.71,5.55,5.51,6.47,2.69,1.68,2,4.55,2.43,1.47,1.88,2.59,2.46,1.08,5.78,3.68,6.07,3.95,1.33,4.24,0.46,5.49,,
September,,,,3.41,2,2.38,1.15,,,,,,,,,,,,,,,,,,3.71,,2.8,4.48,2.94,0.8,2.89,1.63,4.03,0.73,3.95,4.43,5.65,3.66,2.23,1.82,3.93,1.16,4.91,4.37,4.93,3.74,6.14,2.68,5.4,,
October,,,,8.55,1.66,2.35,4.93,,,,,,,,,,,,,,,,,,3.63,4.64,3.24,2.49,6.8,4.36,6.39,4,4.95,1.85,3.62,5.59,3.18,3.5,7.12,1.89,2.86,5.77,3.79,5.96,3.19,3.59,0.83,0.76,3.38,,
November,,,,2.62,2.26,3.52,2.6,,,,,,,,,,,,,,,,,,2.08,,4.13,2.48,5.97,4.25,4.11,7.81,2.98,1.15,0.93,4.16,3.89,1.24,6.39,4.57,3.36,2.23,0.96,2.04,6.88,0.37,4.79,5.7,4.94,,
December,,,,1.82,2.68,1.69,2.27,,,,,,,,,,,,,,,,,,5.05,,0.93,0.41,3.3,3.03,3.27,3.9,6.44,0.58,6.05,1.75,4.36,2.36,2.5,1.52,3.39,1.39,4.01,1.6,3.46,2.13,3.7,1.79,3.04,,
Total,,,,45.75,27.52,27.75,35.38,,,,,,,,,,,,,,,,,39.86,32.59,,32.94,28.85,,30.07,39.97,43.68,38.41,23.92,37.1,33.15,35.8,29.42,41.78,32.13,30.05,30.62,32.87,39.29,38.17,33.12,38.03,33.06,44.44,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 100s transcribed therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station number also RR7619 for TYR 1900s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gauge moved to Stoneleigh House, Station Road in 1937 and not clear when it went (back) to school; all at about the same elevation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
