SILLOTH PREPARATORY SCHOOL,,,,,,,,,,,,
Grid ref,NY112538,Long,-3.385280,Lat,54.871057,,,,,,,
Station no,RR7619,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,4.27,2.32,1.45,4.12,,,,,
February,,,,3.49,2.02,1.48,1.98,,,,,
March,,,,5.30,2.58,2.83,2.24,,,,,
April,,,,0.79,2.30,2.88,1.05,,,,,
May,,,,3.66,2.58,2.40,4.73,,,,,
June,,,,1.74,1.50,1.70,2.45,,,,,
July,,,,5.64,1.87,1.95,2.29,,,,,
August,,,,4.46,3.75,3.12,5.57,,,,,
September,,,,3.41,2.00,2.38,1.15,,,,,
October,,,,8.55,1.66,2.35,4.93,,,,,
November,,,,2.62,2.26,3.52,2.60,,,,,
December,,,,1.82,2.68,1.69,2.27,,,,,
Total,,,,45.75,27.52,27.75,35.38,,,,,
Calc annual,0.00,0.00,0.00,45.75,27.52,27.75,35.38,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
