"DRIFFIELD HIGHFIELD",,,,,,,,,,,,
Grid ref,TA022583,Long,-0.441954,Lat,54.010610,,,,,,,
Station no,RR3028,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.94,1.85,1.04,1.85,2.24,0.63,2.89,0.61,1.44,0.90,,
February,4.04,2.90,1.47,0.96,2.75,1.37,2.01,1.64,1.92,1.55,,
March,0.86,2.44,1.32,2.68,1.73,2.47,2.21,1.93,2.61,4.93,,
April,1.14,1.55,1.02,2.38,1.09,2.27,1.23,1.42,2.85,2.31,,
May,1.22,0.73,2.11,3.05,2.14,0.89,2.33,2.59,1.91,1.64,,
June,2.04,2.12,2.07,1.88,0.44,1.52,0.42,3.37,0.82,3.54,,
July,1.46,0.60,2.26,3.21,2.32,1.28,1.81,0.71,2.52,2.68,,
August,5.20,3.78,2.02,2.41,4.31,3.06,1.25,2.11,1.78,4.73,,
September,0.87,0.81,0.55,3.05,0.70,2.43,0.81,0.73,1.76,1.57,,
October,3.42,1.50,2.44,6.02,0.71,2.22,4.05,4.40,1.14,2.92,,
November,2.76,3.76,1.46,1.46,3.00,3.28,3.67,3.53,1.27,1.00,,
December,3.86,4.58,2.22,1.22,1.79,0.45,1.55,3.34,2.27,5.10,,
Total,30.81,26.62,19.98,30.17,23.22,21.87,24.23,26.38,22.29,32.87,,
Calc annual,30.81,26.62,19.98,30.17,23.22,21.87,24.23,26.38,22.29,32.87,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
