DRIFFIELD - HIGHFIELD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA022583,Long,-0.442,Lat,54.011,Elevation,76,ft,,,,,,,,,,,,,
Station no,RR3028,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915
January,,0.78,2.70,0.67,2.25,3.94,1.85,1.04,1.85,2.24,0.63,2.89,0.61,1.44,0.90,2.33,1.48,3.50,3.87,1.89,3.39
February,,0.73,2.65,1.25,1.37,4.04,2.90,1.47,0.96,2.75,1.37,2.01,1.64,1.92,1.55,2.19,1.20,1.57,0.81,1.03,3.96
March,,2.52,3.16,1.96,2.38,0.86,2.44,1.32,2.68,1.73,2.47,2.21,1.93,2.61,4.93,1.13,2.39,3.15,2.78,2.01,1.44
April,,1.20,1.56,3.53,1.88,1.14,1.55,1.02,2.38,1.09,2.27,1.23,1.42,2.85,2.31,1.68,1.11,0.10,1.91,0.61,0.77
May,0.64,1.04,1.35,2.50,4.09,1.22,0.73,2.11,3.05,2.14,0.89,2.33,2.59,1.91,1.64,3.82,0.86,2.95,2.44,1.60,1.70
June,3.09,1.78,2.30,2.41,1.18,2.04,2.12,2.07,1.88,0.44,1.52,0.42,3.37,0.82,3.54,1.48,2.86,4.54,0.91,2.47,0.23
July,4.20,0.90,0.53,0.51,1.49,1.46,0.60,2.26,3.21,2.32,1.28,1.81,0.71,2.52,2.68,1.80,0.99,4.23,0.40,3.73,5.62
August,2.20,0.98,3.81,3.45,0.60,5.20,3.78,2.02,2.41,4.31,3.06,1.25,2.11,1.78,4.73,3.31,2.81,4.33,1.16,3.55,1.96
September,1.13,2.95,2.40,0.27,3.98,0.87,0.81,0.55,3.05,0.70,2.43,0.81,0.73,1.76,1.57,0.31,3.06,2.20,0.56,1.66,1.50
October,3.89,5.26,2.28,4.09,2.09,3.42,1.50,2.44,6.02,0.71,2.22,4.05,4.40,1.14,2.92,3.18,2.26,3.19,3.69,2.18,0.95
November,2.39,1.72,3.06,2.90,1.33,2.76,3.76,1.46,1.46,3.00,3.28,3.67,3.53,1.27,1.00,3.49,3.78,2.68,2.25,3.03,2.58
December,2.21,3.97,2.40,2.47,2.71,3.86,4.58,2.22,1.22,1.79,0.45,1.55,3.34,2.27,5.10,2.97,4.22,1.46,2.03,5.39,5.72
Total,,23.83,28.20,26.01,25.35,30.81,26.62,19.98,30.17,23.22,21.87,24.23,26.38,22.29,32.87,27.69,27.02,33.90,22.81,29.15,29.82
,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/143,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/024,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/206,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"# The readings for the first four months of operation, January-April 1895 are identical to those for the",,,,,,,,,,,,,,,,,,,,,
"# already operational [Little] Driffield York Road site, and seem likely to have been borrowed from there.",,,,,,,,,,,,,,,,,,,,,
# These readings have been omitted.,,,,,,,,,,,,,,,,,,,,,
