CARLTON MINIOTT SCHOOL,,,,,,,,
Grid ref,SE397812,Long,-1.393,Lat,54.225,Elevation,96,ft
Station no,RR6545,,,,,,,
,,,,,,,,
,1915,1916,1917,1918,1919,1920,1921,
January,,0.56,2.81,,3.31,,2.96,
February,,2.46,0.81,,1.28,0.80,0.14,
March,,2.43,2.10,,1.72,,0.56,
April,0.89,1.21,1.90,,2.12,3.06,0.91,
May,1.41,2.56,0.95,,1.28,2.59,2.06,
June,0.70,2.25,1.84,,0.96,0.60,0.41,
July,4.92,2.56,1.12,3.20,2.20,4.55,1.88,
August,2.76,1.56,6.67,1.10,3.30,3.40,3.86,
September,0.78,1.93,0.86,5.05,0.91,1.80,1.68,
October,0.84,3.01,2.99,2.05,3.40,2.83,1.62,
November,1.87,2.20,1.16,1.50,2.60,1.21,3.07,
December,4.82,1.35,1.66,4.05,3.39,,1.83,
Total,,24.08,24.87,,26.47,,20.98,
,,,,,,,,
TYRain_1910-1919_20_pt1/282,,,,,,,,
TYRain_1920-1930_23_pt1/170,,,,,,,,
