"LIVERPOOL - SANDFIELD PARK, WEST DERBY, BRADSTONES",,,,,,,,,,,,,,,,,,,,
Grid ref,SJ394924,Long,-2.9134184,Lat,53.424895,Elevation,120,ft,,,,,,,,,,,,
Station no,RR2214,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,2.48,3.71,4.38,2.96,2.48,0.82,3.2,2.33,1.48,1.31,3.26,0.6,,,,1.94,3.2,1.94,1.9,2.84
February,1.22,1.96,3.78,0.84,2.13,1.53,2.24,1.08,0,2.33,1.11,0.96,,,,2.1,2.9,1.18,1.84,2.7
March,1.09,4.09,1.07,1.16,1.17,2.42,0.94,1.98,2,3.51,2.98,3.92,,,,0.8,1.7,1.08,2.8,1.54
April,2.96,1.23,0.37,2.15,1.03,0.72,3.26,2.5,3.84,4.23,0.71,1.7,,,,0.76,1.1,3.26,1.64,2.9
May,2.08,2.26,2.06,1.54,1.94,2.63,2.49,2.67,3.03,0.69,2.78,1.13,,,,3.5,1.46,1.36,0.95,4.9
June,1.14,4.54,4.89,3.98,1.7,4.17,3.15,3.83,2.13,2.7,5.38,2.68,,,,0.7,3.9,0.95,0.42,1.3
July,4.45,2.79,4.31,5.66,2.99,7.32,4.62,3.17,3.02,2.78,1.8,4.09,,,,3.1,2.51,4.8,0.46,1
August,5.34,3.67,6.1,2.9,3.56,3.11,2.94,2.88,2.7,5.07,6.5,,,,,4.4,3.8,1.64,3.62,2.5
September,2.48,2.41,3.26,2.06,2.6,1.19,4.26,2.66,4.33,5.07,2.17,,,,,0.63,5.5,2.14,2.14,6.54
October,3.9,4.47,4.48,3.95,3.12,5.11,1.97,1.91,4.01,4.45,3.82,,,,,3,2.1,4.1,4.42,2.94
November,3.43,3.07,6.17,2.09,4.24,0.67,2.03,1.69,1.76,1.99,1.95,,,,,2.5,4.5,1.92,2.28,3.7
December,1.99,0.8,4.99,0.56,4,1.8,2.78,1.41,4.32,3.05,2.94,,,,,1,2.23,3.05,6.56,2.16
Total,32.56,35,45.86,29.85,30.96,31.49,33.88,28.11,32.62,37.18,35.4,,,,,24.43,34.9,27.42,29.03,35.02
Calc annual,32.56,35,45.86,29.85,30.96,31.49,33.88,28.11,32.62,37.18,35.4,15.08,0,0,0,24.43,34.9,27.42,29.03,35.02
Difference,0,0,0,0,0,0,0,0,0,0,0,15.08,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_04_pt3-page-006.csv 1860 and 1861,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1860-1869_04_pt3-page-009.csv totals 1860-1864 estimated.,,,,,,,,,,,,,,,,,,,,
