WIGAN WW WORTHINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD582103,Long,-2.632919,Lat,53.587606,Elevation,225,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,8.6,2.31,5.48,4.83,4.09,2.39,2.95,2.13,5.01,2.47,4.09,5.27,2.04,1.46,4.01,4.58,4.76,2.84,4.51,3.06,9.14,2.35,2.18,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,3.88,1.07,0.23,4.01,0.02,3.9,0.26,4.21,2.54,5.32,1.14,3.82,2.43,3.91,1.62,2.31,1.52,4.07,5.07,0.53,1.98,1.96,4.66,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.67,1.41,2.81,0.28,2.66,2.52,2.43,1.07,2.43,1.92,1.29,2.07,2.57,2.79,2.98,0.96,0.74,1.27,0.79,4.96,1.41,2.76,1.79,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.05,0.93,2.25,2.75,2.59,1.36,2.21,2.72,1.29,3.17,0.34,2.43,2.47,1.36,1.78,2.03,2.58,2.19,1,3,1.51,2.73,2.95,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.33,2.56,1.43,2.28,4.66,1.98,2.91,1.42,0.49,2.24,4.34,1.23,1.43,2.43,4.16,3.19,2.18,3.6,1.61,2.87,1.9,2.95,1.57,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,6.08,1.55,1.71,5.72,0.47,2.73,2.01,3.43,5.3,1.59,3.34,3.87,1.03,0.31,0.76,3.24,2.52,3.25,3.23,1.96,4.55,1,2.67,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,2.46,3.41,4.65,3.18,6.25,2.08,1.71,1.81,4.6,1.94,3.9,7.52,5.18,2.23,3.92,3.39,4.31,3.21,3.57,2.72,2.77,3.08,4.22,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,6.04,3.99,6.63,5.71,0.75,1.91,3.58,1.92,2.42,2.81,3.32,1.7,1.71,6.15,4.92,5.76,2.98,2.17,6.96,0.14,5.33,2.48,6.94,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.34,2.23,3.05,3.82,4.33,0.9,3.59,6.09,4.59,1.47,2.2,1.1,3.37,0.89,2.62,5.42,5.84,2.16,5.97,3.35,2.56,1.7,7.35,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,4.79,5.57,5.18,2.41,7.94,4.28,4.62,7.6,3.7,1.98,8.61,1.76,4.26,4.13,5.25,4.07,5.27,5.25,1.39,0.69,2.9,3.93,3.12,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,6.09,7.47,6.14,6.97,3.14,2.01,1.93,4.33,4.99,1.72,5.01,5.68,6.09,2.47,1.01,3.78,6.9,0.47,5.61,4.28,2.26,5.68,5.43,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
