STURMINSTER-NEWTON-STOCK-GAYLARD,,,,,,,,,,,,,,,,,,,,
Grid ref,ST721124,Long,-2.39821,Lat,50.9104,Elevation,300,ft,,,,,,,,,,,,
Station no,1623/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.56,4.25,6.65,2.32,2.33,3.03,3.06,5.67,0.81,0.55,2.88,2.57,0.94,1.8,3.27,4.91,2.51,2.62,4.32,
February,3.65,0.17,1.52,0.69,2.15,2.72,2.1,1.34,1.77,5.33,5.7,0.9,1.79,3.12,2.56,0.12,3.87,3.38,0.26,
March,2.92,2.7,0.82,0.39,0.94,0.97,8.09,1.02,1.42,1.09,3.73,2.52,0.75,4.06,1.63,0.9,2.03,1.17,4.18,
April,2,1.99,0.96,1.58,0.66,2.51,2.97,1.63,1.7,2.42,2.09,1.89,2.94,0.21,0.77,1.03,0.45,0.71,2.91,
May,2.04,3.95,3.26,0.72,3.28,3.94,2.52,3.2,2.07,1.74,2.68,3.07,2.41,1.94,4.17,0.47,1.6,2.17,1.14,
June,2.37,0.37,1.75,2,2.66,3.14,1.41,2.24,0.55,1.22,0.58,1.98,2.68,3.35,2.39,2.28,2.17,3.1,,
July,2.18,1.77,2.65,2.82,1.49,1.2,1.29,1.19,1.22,5.07,1.75,0.84,2.52,2.91,3.01,2.29,3.9,1.63,,
August,3.29,3.66,2.52,2.63,1.9,4.34,0.95,3.86,1.18,4,4.01,3.54,2.12,2.74,0.45,3.53,3.1,2.84,,
September,0.95,2.37,2.69,1.55,3.99,4.67,1.37,2.35,2.17,4.5,3.38,4.26,2.31,3.53,0.7,4.09,3.22,5.54,,
October,1.13,3.66,4.16,4.7,3.42,1.07,1.12,3.2,6.98,1.39,0.92,3.95,3.85,2.35,3.12,1.42,2.28,3.25,,
November,2.04,1.51,2.88,6,0.7,7.62,1.61,1.69,4.17,5.87,9.63,4.14,1.92,7.21,4.07,0.83,2.27,3.04,,
December,1.99,5.55,2.68,3.05,4.49,4.38,2.91,6.87,1.68,2.42,3.51,2.69,0.84,3.09,4.65,6.14,3.17,4.56,,
Total,28.12,31.95,32.54,28.45,28.01,39.59,29.4,34.26,25.72,35.6,40.86,32.35,25.07,36.31,30.79,28.01,30.57,34.01,,
,,,,,,,,,,,,,,,,,,,,
Unknown where gauge was on large estate so NGR taken from sheet,,,,,,,,,,,,,,,,,,,,
1941 Jan Station started,,,,,,,,,,,,,,,,,,,,
1942 Mar 17 Gauge moved 1yd E,,,,,,,,,,,,,,,,,,,,
1959 Terminated Observer moved to flat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Annual average 30.98in based on 16 years within 1941-1957 2in low Rejected,,,,,,,,,,,,,,,,,,,,
