LAIRIG ARNAN (NEW SITE),,,,,,,,,,
Grid ref,NN295182,Long,-4.758915,Lat,56.325409,Elevation,1115,ft,,
Station no,5573/7/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,14.65,3.74,8.07
February,,,,,,,,6.27,6.75,10.73
March,,,,,,,,3.55,10.87,4.31
April,,,,,,,,6.69,9.62,13.6
May,,,,,,,,9.44,3.2,6.69
June,,,,,,,,3.91,8.55,6.24
July,,,,,,,,6.65,11.7,9.93
August,,,,,,,,10.43,8.98,5.35
September,,,,,,,,10.35,2.92,6.02
October,,,,,,,18,13.74,13.98,6.11
November,,,,,,,6.3,3.62,13.69,13.18
December,,,,,,,17.96,12.54,17.3,15.2
Total,,,,,,,,101.84,111.3,105.43
,,,,,,,,,,
Station no,5573/7/1,,,,,,,,,
Midas,13716,,,,,,,,,
Hyd Stn,661883,,,,,,,,,
