"LAIRIG ARNAN (NEW SITE)",,,,,,,,,,,,
Grid ref,NN295182,Long,-4.758915,Lat,56.325409,,,,,,,
Station no,5573/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,14.65,3.74,8.07,,
February,,,,,,,,6.27,6.75,10.73,,
March,,,,,,,,3.55,10.87,4.31,,
April,,,,,,,,6.69,9.62,13.60,,
May,,,,,,,,9.44,3.20,6.69,,
June,,,,,,,,3.91,8.55,6.24,,
July,,,,,,,,6.65,11.70,9.93,,
August,,,,,,,,10.43,8.98,5.35,,
September,,,,,,,,10.35,2.92,6.02,,
October,,,,,,,18.00,13.74,13.98,6.11,,
November,,,,,,,6.30,3.62,13.69,13.18,,
December,,,,,,,17.96,12.54,17.30,15.20,,
Total,,,,,,,,101.84,111.30,105.43,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,42.26,101.84,111.30,105.43,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
