SOUTHBOROUGH-THE-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ584427,Long,0.2639459,Lat,51.161625,Elevation,373,ft,,,,,,,,,,,,
Station no,RR6941,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.35,4.67,1.47,1.91,1.18,3.26,1.54,3.04,4.92,0.93,3.77,,,,
February,,,,,,0.87,2.35,1.57,1.31,0.65,4.97,1.67,2.5,1.08,4.87,5.01,,,,
March,,,,,,4.12,1.94,1.05,3.06,4.13,1.98,2.51,5.47,3.43,6.32,0.65,,,,
April,,,,,,2.56,1.17,3.05,2.36,2.03,2.3,2.38,0.05,3.33,1.82,1.45,,,,
May,,,,,,1.68,1.79,2.23,1.65,1.94,2.74,1.14,1.12,1.81,1.05,4.87,,,,
June,,,,,,4.24,2.35,2.59,2.25,2.88,2.22,2.38,3.17,0.7,0.52,0.39,,,,
July,,,,,,0.47,0.72,1.31,3.53,3.28,2.64,0.38,1.43,2.56,1.43,3.85,,,,
August,,,,,,2.47,0.67,2.18,5.21,2.41,3.03,0.71,6.39,1.76,0.91,1.97,,,,
September,,,,,,1.72,1.34,0.49,2.13,3.73,0.42,1.66,3.77,2.02,0.98,2.53,,,,
October,,,,,,1.78,4.56,5.27,1.9,6.41,3.21,6.22,4.2,5.55,2.29,2.32,,,,
November,,,,,,4.96,6.63,2.38,1.12,1.3,4.04,6.01,2.72,4.32,5.09,3.42,,,,
December,,,,,,0.74,2.06,3.29,3.22,4.58,4.35,7,3.97,1.51,8.49,7.72,,,,
Total,,,,,,26.96,30.25,26.88,29.65,34.52,35.16,33.6,37.83,32.99,34.7,37.95,,,,
