SOUTHBOROUGH THE HALL,,,,,,,,,,,,
Grid ref,TQ586428,Long,0.266848,Lat,51.162468,,,,,,,
Station no,RR6941,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.35,4.67,1.47,1.91,1.18,,
February,,,,,,0.87,2.35,1.57,1.31,0.65,,
March,,,,,,4.12,1.94,1.05,3.06,4.13,,
April,,,,,,2.56,1.17,3.05,2.36,2.03,,
May,,,,,,1.68,1.79,2.23,1.65,1.94,,
June,,,,,,4.24,2.35,2.59,2.25,2.88,,
July,,,,,,0.47,0.72,1.31,3.53,3.28,,
August,,,,,,2.47,0.67,2.18,5.21,2.41,,
September,,,,,,1.72,1.34,0.49,2.13,3.73,,
October,,,,,,1.78,4.56,5.27,1.90,6.41,,
November,,,,,,4.96,6.63,2.38,1.12,1.30,,
December,,,,,,0.74,2.06,3.29,3.22,4.58,,
Total,,,,,,26.96,30.25,26.88,29.65,34.52,,
Calc annual,0.00,0.00,0.00,0.00,0.00,26.96,30.25,26.88,29.65,34.52,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
