CREWKERNE-MEREFIELD-HOUSE-(ROOF-GAUGE),,,,,,,,,,,,
Grid ref,ST443099,Long,-2.793202,Lat,50.88589,Elevation,254,ft,,,,
Station no,RR6270,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911
January,,,1.09,3.52,5.51,0.71,7,1.22,1.24,1.43,3.42,1.22
February,,,2.07,2.28,5.67,0.77,3.53,2.12,1.67,0.56,5.22,1.42
March,,,2.23,4.95,1.61,5.31,1.44,0.82,4.4,5.36,0.86,2.33
April,,,2.71,2.91,1.31,2.93,0.88,4.9,2.07,2.72,2.63,2.5
May,,,1.74,3.82,2.09,0.38,2.11,2.59,2.33,1.6,1.63,1.37
June,,,3.75,2.91,1.2,3.48,2.05,2.31,0.41,3.08,3.33,2.13
July,,,3.27,3.37,4.44,0.36,1.09,1.65,1.7,3.34,3.84,0.15
August,,,3.9,4.43,4.05,4.48,0.76,1.83,3.48,2.06,5.75,0.96
September,,,2.1,5.04,2.12,1.9,0.81,0.45,2.6,2.93,0.33,1.08
October,,,2.46,8.26,1.58,2.23,7.01,8.09,4.14,7.36,5.92,3.54
November,,,5.11,1.51,1.23,6.07,3.91,3.64,1.52,0.94,4.87,3.97
December,,,2.73,4.72,3.48,1.07,1.6,5.49,4.45,6.01,8.75,12.65
Total,,,33.16,47.72,34.29,29.69,32.19,35.11,30.01,37.39,46.55,33.32
,,,,,,,,,,,,
8in gauge placed on flat roof about 20ft square 14ft 5in above ground on account of shelter by trees and shrubs,,,,,,,,,,,,
Gauge read monthly before 1908,,,,,,,,,,,,
1910 Jan 1 5in check gauge set at 1ft above ground,,,,,,,,,,,,
1911 5in gauge moved to roof 8in gauge moved to ground,,,,,,,,,,,,
1912 data duplicated on next sheet,,,,,,,,,,,,
,,,,,,,,,,,,
1914 Apr-Aug Data removed as 5in check gauge,,,,,,,,,,,,
,,,,,,,,,,,,
NB Annual values rejected from Survey 1929,,,,,,,,,,,,
