RHONDDA-LLUEST-WEN-FILTER NEW GAUGE RELOCATED,,,,,,,,,,,,,,,,,,,,
Grid ref,SN956015,Long,-3.5121468,Lat,51.702498,Elevation,,ft,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,15.3,9.06,21.92,4.12,3.89,12.77,10.94,2.97,5.02,7.51,12.04,17.97,9.81,11.6,9.96
February,,,,,,10.57,2.5,6.42,5.05,16.32,9.49,2.23,3.73,10.34,4.12,1.09,10.78,11.23,0.73,9.91
March,,,,,,3.44,14.55,6.06,3.13,7,8.44,6.78,7.28,8.24,5.05,5.12,12.69,1.62,8.79,4.03
April,,,,,,2.37,8.39,4,7.73,6.39,7.95,5.99,6.16,2.97,5.2,2.33,0.89,2.49,7.81,6.45
May,,,,,,4.33,3.39,6.2,7.18,3.33,3.96,5.42,5.47,5.81,9.05,2.81,4.17,7.43,2.87,1.96
June,,,,,,8.94,3.75,9.42,1.5,4.1,3.59,4.9,5.54,10.19,10.66,5.27,1.74,5.7,3.83,5.72
July,,,,,,5.06,5.64,3.72,3.5,9.79,2.77,4.12,12.57,8.15,2.57,8.07,8.44,9.46,8.01,10.71
August,,,,,,13.01,0.87,10.62,4.73,13.99,13.45,10.1,8.42,9.37,1.99,10.23,7.13,8.5,2.35,7.77
September,,,,,,15.18,4.56,9.7,3.47,15.61,9.4,4.64,10.53,14.19,4.06,10.2,13.82,15.64,0.65,8.14
October,,,,,,1.97,2.64,7.48,14.34,5.83,2.07,10.5,6.19,20.27,6.71,3.82,11.15,11.93,11.83,11.32
November,,,,,1.3,18.41,11.16,5.3,10.04,11.15,17.24,4.71,11.01,19.51,8.55,3.64,4.05,4.47,14.55,24.09
December,,,,,11.9,9.78,9.51,16.2,12.33,4.29,12.79,7.2,2.86,10.68,14.49,12.06,8.15,9.45,22.44,12.89
Total,,,,,,108.36,76.02,107.04,77.12,101.69,103.92,77.53,82.73,124.74,79.96,76.68,100.98,97.73,95.46,112.95
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1950s record and is consistent with the descrption on the record of being just over the stream from the other gauge. The gauge moved to this location at the end of Sept 1949 and I think it was by the other gauge adjacent to the filter tanks for the first 4 years, the move was about  450 yards NW",,,,,,,,,,,,,,,,,,,,
