RHONDDA-LLUEST-WEN-FILTER NEW GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SN958013,Long,-3.5091939,Lat,51.700738,Elevation,1200,ft,,,,,,,,,,,,
Station no,4085/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,9.15,12.22,2.08,10.69,15.14,14.03,13.42,4.27,3.55,8.66,16.18,10.35,7.22,14.86,,,,
February,,,7.3,0.76,11.78,3.87,13.17,4.11,7.75,8.54,8.98,1.07,6.14,2.18,13.03,8.79,,,,
March,,,7.21,6.22,1.68,5.97,5.11,1.43,3.59,7.32,5.4,6.83,2.31,0.55,4.86,3.45,,,,
April,,,2.98,4.96,8.2,4.18,5.47,0.36,5.09,4.9,2.33,4.62,2.78,5.38,4.75,2.21,,,,
May,,,2.13,4.33,2.19,2.11,2.92,6.51,1.22,2.18,5.06,11.85,9.24,3.26,6.01,4.1,,,,
June,,,3.48,2.66,8.89,5.65,3.36,5.64,7.05,0.76,2.66,0.63,7.93,5.15,7.83,8.68,,,,
July,,,7.14,1.84,1.74,12.39,3.85,6.85,16.69,7.9,4.63,7.13,6.38,5.69,5.81,4.87,,,,
August,,,2.17,7.72,3.08,2.08,1.12,6.28,5.3,0.91,10.28,9.76,9.28,7.15,4.53,12.96,,,,
September,,,2.68,7.31,13.67,5.22,3.53,3.52,1.48,4.1,0.59,6.93,8.4,8.81,7.25,15.34,,,,
October,,14.21,10.92,9.16,11.88,4.39,3.94,14.49,6.3,12.16,8.42,8.47,7.54,12.83,9.26,1.89,,,,
November,,7.2,2.1,2.7,11.85,9.72,4.06,14.69,18.7,17.89,6.72,1.6,4.73,15.51,1.2,19.16,,,,
December,,5.82,2.38,20.57,6.01,14.74,5.37,9.1,4.93,7.04,8.77,14.65,4.78,8.41,11.55,9.94,,,,
Total,,,59.64,80.45,83.05,81.01,67.04,87.01,91.52,77.97,67.39,82.2,85.69,85.27,83.3,106.25,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is a rain gauge adjacent to the filter tanks shown on the old OS maps. ,,,,,,,,,,,,,,,,,,,,
