RHONDDA-LLUEST-WEN-FILTER OLD GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN958014,Long,-3.5092238,Lat,51.701636,Elevation,1225,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,
January,,,,,,,,,2.38,8.19,7.93,4.6,4.74,8.84,9.47,2.03,10.82,3.94,4.75,3.26,7.01,2.08,8.84,11.19,3.6,4,4.52,2.31,6.62,8.36,7.93,8.47,5.16,5.75,9.94,9.85,13.79,9.66,19.03,3.02,13.95,5.64,8.56,6.08,,,,,,,,
February,,,,,,,,,3.52,6,7.9,2.49,3.06,3.39,7.2,2.27,4.94,3.94,3.34,0.84,9.01,4.16,6.11,3.3,9.76,11.71,7.32,1.73,4.87,5.38,2.35,0.24,7.12,15.22,0.69,13.94,7.94,6.39,11.66,2.14,0.73,5.11,0.02,5.85,,,,,,,,
March,,,,,,,,,1.97,1.81,1.23,3.49,3.55,11.04,3.83,7.85,3.57,2.41,6.34,5.96,1.91,2.01,10.72,13.35,9.41,1.61,2.77,3.73,3.4,7.95,7.84,8.1,3.62,2.8,3.84,1.16,2.14,8.02,8.01,2.19,3.43,0.72,4.15,4.91,,,,,,,,
April,,,,,,,,,3.32,6.1,2.2,6.94,3.29,2.91,3.61,5.88,1.61,3.05,3.92,4.83,4.17,3.02,0.61,14.48,2.67,2.25,3.18,2.4,2.52,2.95,9.09,1.1,4.49,5.66,7.03,4.82,4.2,3.28,2.35,0.88,3.62,3.67,4.07,2.15,,,,,,,,
May,,,,,,,,,4.32,5.82,3.59,1.92,3.33,4.66,4.97,0.39,5.88,3.41,4.2,2.43,3.18,2.21,2.3,4.97,3.62,3.19,3.57,4.17,2.35,1.77,4.6,2.93,1.22,4.49,6.3,8.51,5.16,3.45,0.54,8.8,2.79,4.09,4.62,1.61,,,,,,,,
June,,,,,,,,,3.73,1.92,4.75,3.09,4.57,1.81,2.53,5.78,3.39,7.61,1.42,4.88,6.71,5.06,7.86,4.57,2.09,2.95,4.4,2.88,3.53,2.82,3.95,0.95,1.65,1.68,4.29,0.06,3.45,5.9,7.36,6.06,3.13,6.41,1.61,2.74,,,,,,,,
July,,,,,,,,,1.41,0.85,2.55,1.66,2.87,3.66,5.25,2.24,2,4.77,5.9,4.82,5.54,0.46,5.96,0.74,7.46,8.91,2.71,4.08,7.15,1.33,8.15,3.06,6.61,5.36,8.6,5,4.28,7.72,4.97,7.09,5.96,6.31,5.11,5.82,,,,,,,,
August,,,,,,,,,5.86,3.15,6.48,5.92,3.47,10.52,5.76,9.77,6.38,5.71,8.54,2.4,10.42,7.04,12.75,3.38,7.06,4.1,5.95,14.2,4.53,4.28,3.87,5.88,6.4,8.1,10.35,6.37,8.76,12.9,7.13,7.77,6.2,6.58,1.14,1.52,,,,,,,,
September,,,,,,,,,2,3.11,3.1,4.74,2.76,6.21,4.51,4.03,2.18,2.54,4.88,6.8,0.28,4.88,1.53,3.87,3.07,1.63,4.55,3.84,11.99,3.59,5.73,2.72,,8.12,12.11,6.09,3.35,10.11,2.14,3.25,6.3,2.43,6.83,2.09,,,,,,,,
October,,,,,,,,,9.47,5.07,10.12,3.97,5.86,16.55,2.91,3.46,11.27,9.18,2.93,13.85,5.32,4.95,8.14,8,2.99,5.26,15.52,9.5,3.88,2.16,6.98,3.06,2.21,13.68,10.53,12.69,7.74,9.78,16.18,14.19,7.49,1.86,10.18,6.9,,,,,,,,
November,,,,,,,,,7.27,5.09,7.88,3.19,6.68,4.16,5.04,7.16,5.41,4.67,4.76,3.09,7.61,8.82,3.97,14.59,7.12,4.35,7.64,4.88,6.17,3.9,3.34,3.51,3.36,7.73,5.83,4.27,15.03,7.32,16.41,26.44,6.55,10.37,5.46,1.58,,,,,,,,
December,,,,,,,,,8.85,3.82,9.62,9.48,5.31,6.78,6.55,2.64,1.99,9.51,6.91,10.96,9.98,18.56,10.68,6.08,11.8,15.12,5.02,1.58,10.69,11.35,8.39,3.7,9.16,8.15,15.11,8.9,0.27,4.92,10.02,20.71,6.63,4.31,3.75,2.15,,,,,,,,
Total,,,,,,,,,54.1,50.93,67.35,51.49,49.49,80.53,61.63,53.5,59.44,60.74,57.89,64.12,71.14,63.25,79.47,88.52,70.65,65.08,67.15,55.3,67.7,55.84,72.22,43.72,,86.74,94.62,81.66,76.11,89.45,105.8,102.54,66.78,57.5,55.5,43.4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is rain gauge adjacent to Lluest Wen Cottage shown on old OS maps. The gauge moved about 500 ft. south adjacent to the filter tank (see new gauge) but not sure when. The move could have been in the 1910s when the record location name was changed or may  not have happened until the new gauge was installed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
