CORFE-CASTLE-YONDOVER,,,,,,,,,,,,,,,,,,,,
Grid ref,SY963811,Long,-2.05316,Lat,50.62982,Elevation,140,ft,,,,,,,,,,,,
Station no,1560/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,4.95,4.16,6.25,3.82,4.44,4.72,6.43,,,,,,,
February,,,,,,,6.93,0.96,2.11,4.51,4.33,0.15,1.07,,,,,,,
March,,,,,,,3.89,0.45,1.13,3.33,4.26,2.99,0.92,,,,,,,
April,,,,,,,2.74,0,2.58,1.23,1.66,1.32,0.84,,,,,,,
May,,,,,,,4.19,1.59,1.05,1.45,2.81,,1.85,,,,,,,
June,,,,,,,0.56,0.51,2.01,0.2,1.54,,0.97,,,,,,,
July,,,,,,,2.21,2.09,5.29,3.67,1.66,,2.91,,,,,,,
August,,,,,,,1.89,2.41,3.39,0.02,4.4,4.02,1.83,,,,,,,
September,,,,,,,3.7,1.94,2.42,1.73,0.79,3.45,2.1,,,,,,,
October,,,,,,,5.85,5.2,6.23,4.71,1.34,4.55,4.8,,,,,,,
November,,,,,,,2.27,5.84,7.74,9.45,1.82,1.67,2.25,,,,,,,
December,,,,,,,4.56,4.08,2.47,2.71,2.95,4.46,3.5,,,,,,,
Total,,,,,,,43.74,29.23,42.67,36.83,32,,29.47,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1942 May June July Estimated House closed,,,,,,,,,,,,,,,,,,,,
1943 Dec Part estimated Poss for snow,,,,,,,,,,,,,,,,,,,,
1944 No return Observer living away,,,,,,,,,,,,,,,,,,,,
