"BARHAM (OLD HOUSE)",,,,,,,,,,,,
Grid ref,TR208501,Long,1.159644,Lat,51.207408,,,,,,,
Station no,289/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.30,2.75,1.13,2.28,3.79,5.01,1.93,3.73,2.54,4.02,,
February,6.27,1.43,2.33,2.14,2.33,1.47,4.25,3.25,0.04,2.33,,
March,3.29,3.22,0.14,3.12,1.77,0.44,0.82,2.85,1.72,1.74,,
April,2.06,1.43,1.51,0.81,0.24,0.72,0.45,1.82,2.96,0.82,,
May,2.32,1.20,1.98,2.00,3.68,0.49,1.13,1.79,1.05,1.84,,
June,1.19,1.67,2.63,2.72,1.83,2.53,1.05,3.77,0.77,1.71,,
July,2.07,1.09,2.32,2.56,1.39,2.87,3.32,1.88,2.80,3.55,,
August,4.71,3.65,2.01,4.05,3.32,3.37,3.14,3.58,1.10,2.70,,
September,4.13,6.79,4.15,1.54,1.10,1.75,3.20,2.75,0.15,2.91,,
October,2.64,2.82,3.11,2.61,4.67,1.99,1.22,3.66,3.88,7.06,,
November,4.89,3.88,1.82,5.61,1.37,0.99,5.21,1.84,6.07,5.04,,
December,2.77,3.38,1.15,2.14,2.67,2.88,1.81,4.40,7.89,4.78,,
Total,39.64,33.31,24.28,31.58,28.16,24.51,27.53,35.32,30.97,38.50,,
Calc annual,39.64,33.31,24.28,31.58,28.16,24.51,27.53,35.32,30.97,38.50,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
