BARHAM-OLD-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR208501,Long,1.159644,Lat,51.207408,Elevation,178,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,289/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.26,1.88,2.54,1.52,4.87,5.88,3.69,6.03,2.8,2.68,2.59,4.93,1.51,2.04,1.98,2.16,3.41,1.36,1.31,3.3,2.75,1.13,2.28,3.79,5.01,1.93,3.73,2.54,4.02
February,,0.69,1.7,0.24,3.55,2.46,4.47,1.42,1.33,2,1.62,1.75,1.46,0.92,1.69,2.84,1.92,1.32,1.21,4.97,6.27,1.43,2.33,2.14,2.33,1.47,4.25,3.25,0.04,2.33
March,,1.35,2.16,2.95,0.23,1.44,5.79,0.57,2.28,2.78,1.68,1.94,0.34,0.23,1.2,2.59,5.23,0.91,0.69,1.02,3.29,3.22,0.14,3.12,1.77,0.44,0.82,2.85,1.72,1.74
April,,2.99,0.87,2.66,3.37,1.69,2.72,0.86,2.74,1.18,1.81,1.24,1.41,1.28,1.17,1.77,1.7,1.87,1.67,2.38,2.06,1.43,1.51,0.81,0.24,0.72,0.45,1.82,2.96,0.82
May,,2.65,1.41,1.06,2.41,0.24,3.5,2.87,1.38,0.84,1.57,2.82,2.43,0.69,1.54,2.13,1.53,1.49,1.72,1.29,2.32,1.2,1.98,2,3.68,0.49,1.13,1.79,1.05,1.84
June,,1.1,1.63,1.21,2.5,3.06,1.59,1.45,1.78,0.8,0.9,0.35,0.77,1.26,0.42,3.14,2.5,2.8,0.63,1.08,1.19,1.67,2.63,2.72,1.83,2.53,1.05,3.77,0.77,1.71
July,,3.84,2.03,1.02,0.35,5.28,1.06,2.14,1.89,3.59,3.14,3.15,1.49,2.83,2.36,2.81,2.41,2.03,0.82,3.4,2.07,1.09,2.32,2.56,1.39,2.87,3.32,1.88,2.8,3.55
August,,0.52,0.64,2.09,3.55,0.92,1.07,2.35,2.63,0.06,3.73,2.11,1.33,1.62,1.99,4.78,0,3.94,0.87,2.45,4.71,3.65,2.01,4.05,3.32,3.37,3.14,3.58,1.1,2.7
September,,1.65,5.27,1.27,4.13,3.25,3.45,3,3.48,1.65,0.23,2.69,1.95,3.32,1.29,2.25,0.93,2.45,3.88,2.4,4.13,6.79,4.15,1.54,1.1,1.75,3.2,2.75,0.15,2.91
October,,7.34,1.68,2.43,3.97,2.84,3.09,3.77,11.31,3.93,2.21,3.79,2.06,6.01,1.79,1.07,1,1.22,7.38,0.61,2.64,2.82,3.11,2.61,4.67,1.99,1.22,3.66,3.88,7.06
November,,1.15,2.45,3.68,6.43,4.73,1.28,3.23,5.25,6.78,3.36,2.92,2.42,4.95,1.37,5.54,1.48,1.88,4.65,6.72,4.89,3.88,1.82,5.61,1.37,0.99,5.21,1.84,6.07,5.04
December,,0.47,0.53,6.06,4.02,2.95,6.63,3.56,,1.78,1.38,3.09,2.31,2.26,3.57,3.07,2.64,2.72,1.9,2.68,2.77,3.38,1.15,2.14,2.67,2.88,1.81,4.4,7.89,4.78
Total,,26.01,22.25,27.21,36.03,33.73,40.53,28.91,,28.19,24.31,28.44,22.9,26.88,20.43,33.97,23.5,26.04,26.78,30.31,39.64,33.31,24.28,31.58,28.16,24.51,27.53,35.32,30.97,38.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960 Jan Feb Sep Oct, gauge read monthly as observer is 90.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
