DOWNE-COUNCIL-SCHOOL (DOWNE-LODGE),,,,,,,,,,
Grid ref,TQ429613,Long,0.049854388,Lat,51.332845,Elevation,555,ft,,
Station no,RR6897,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,5.4,1.29,5.91,1.92,,
February,,,,,4.35,1.21,3.24,1.54,,
March,,,,,2.1,4.87,1.63,0.61,,
April,,,,,1.36,2.08,0.75,3.63,,
May,,,,,1.94,1.37,1.45,2.06,,
June,,,,,1.31,5.62,2.99,1.98,,
July,,,,,1.26,0.97,1.63,1.03,,
August,,,,,1.36,2.43,0.54,2.25,,
September,,,,,1.57,2.59,1.94,0.62,,
October,,,,,2.23,1.67,5.39,4.04,,
November,,,,,1.84,4.98,6.08,2.8,,
December,,,,,3.5,1.04,1.94,3.9,,
Total,,,,,28.22,30.12,33.49,26.38,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1908 Gauge moved to Council School,,,,,,,,,,
