DOWNE-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ433617,Long,0.055752969,Lat,51.336338,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.73,,2.72,1.84,2.91,3.9,0.77,4.49,1.63,1.75,3.6,4.43,3.36,,,,,,,,,,
February,,,,,,,,,1.92,,4.99,1.62,2.28,1.03,4.91,5.66,4.79,0.81,1.52,3.62,0.75,,,,,,,,,,
March,,,,,,,,,3.42,,1.6,2.04,4.17,3.21,5.75,0.54,5.15,1.55,1.12,3.63,1.54,,,,,,,,,,
April,,,,,,,,,2.84,,2.01,2.45,0.12,3.19,1.28,1.82,1.95,2.5,4.38,3.73,4.06,,,,,,,,,,
May,,,,,,,,,2.34,,2.78,1.3,1,1.06,1.97,3.31,2.9,2.17,2.08,0.13,0.61,,,,,,,,,,
June,,,,,,,,,1.64,,2.91,2.11,3.15,0.59,1.62,0.73,3.82,2.05,1.02,1.08,1.73,,,,,,,,,,
July,,,,,,,,,4.53,,3.27,0.51,1.57,1.99,1.86,4.86,1.47,5.27,5.46,2.19,4.37,,,,,,,,,,
August,,,,,,,,,4.56,,2.47,0.96,5.54,1.94,2.04,2.3,2.79,6.51,1.2,1.46,2.07,,,,,,,,,,
September,,,,,,,,,2.56,,0.99,0.72,4.23,1.75,1.16,2.5,1.35,1.75,5.16,1.68,4.33,,,,,,,,,,
October,,,,,,,,,2.27,,3.19,4.29,3.41,4.29,2.2,1.66,4.57,4.91,1.96,0.55,1.55,,,,,,,,,,
November,,,,,,,,,1.05,,3.91,5.77,2.69,3.15,4.14,3.37,6.14,1.96,2.61,1.78,1.52,,,,,,,,,,
December,,,,,,,,,3.26,,4.69,7.3,4.23,1.25,10.44,6.9,3.66,2.88,2.87,4.79,2.57,,,,,,,,,,
Total,,,,,,,,,32.12,,35.53,30.91,35.3,27.35,38.14,38.14,40.22,34.11,32.98,29.07,28.46,,,,,,,,,,
