DOWNE COUNCIL SCHOOL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6897,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.36,,,,,,,,,,,
February,0.75,,,,,,,,,,,
March,1.54,,,,,,,,,,,
April,4.06,,,,,,,,,,,
May,0.61,,,,,,,,,,,
June,1.73,,,,,,,,,,,
July,4.37,,,,,,,,,,,
August,2.07,,,,,,,,,,,
September,4.33,,,,,,,,,,,
October,1.55,,,,,,,,,,,
November,1.52,,,,,,,,,,,
December,2.57,,,,,,,,,,,
Total,28.46,,,,,,,,,,,
Calc annual,28.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
