MERTON-PARK-JOHN-INNES-HORT-INST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ247692,Long,-0.20847,Lat,51.40829,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,1.33,2.13,1.97,2.6,0.72,2.8,1.19,1.76,1.23,1.74,1.17,3.94,3.9,2.15,3.82,1.79,2.38,2.55,5.01,1.29,1.54,1.49,1.36,2.68,0.93,
February,,,,,,2.71,2.29,3.73,1.45,0.31,0.62,1.51,0.17,2.74,0.23,2.77,1.91,4.13,0.53,1.19,1.4,1.63,0.65,1.75,0.66,1.23,2.16,1.31,1.23,0.86,
March,,,,,,0.62,0.13,2.99,1.83,0.05,1.73,0.23,1.35,2.14,2.23,0.32,1.04,2.86,0.36,1.01,2.99,3.12,1.87,0.29,0.04,0.95,1.13,4.66,0.65,0.8,
April,,,,,,1.64,3.51,1.6,1.28,0.91,1.33,3.86,2.28,0.58,2.04,2.9,1.69,1.96,0.05,2.26,1.71,1.37,0.99,0.73,1.27,0.97,2.05,1.63,1.06,1.61,
May,,,,,,1.39,0.98,1.1,2.5,1.08,2.92,2.52,4.31,2.46,0.43,1.05,0.43,2.46,1.31,1.53,1.08,1.61,3.03,1.79,0.65,2.44,3.44,1.28,1.79,1.8,
June,,,,,,0.02,3.26,3.45,2.2,0.86,0.79,1.69,0.83,1.26,0.68,3.8,3.43,1.76,0.52,0.84,0.62,2.32,1.04,0.93,1.85,1.13,1.94,2.17,2.21,0.72,
July,,,,,,3.81,1.59,2.3,1.95,1.38,2.15,3.13,2.64,1.29,2.34,1.09,2.72,0.49,1.09,2.99,3.07,4.2,2.03,1.5,2.3,2.99,1.37,1.23,0.84,1.23,
August,,,,,,2.48,0.93,3.65,2.49,2.33,2.93,5.4,1.15,0.61,2.21,2.44,0.64,2.39,3.11,2.93,0.07,4.54,2.12,1.37,2.37,1.72,4.42,0.26,3.3,1.25,
September,,,,,,1.95,1.66,3.94,0.8,0.11,3.11,2.53,2.01,2.52,1.45,2.54,2.3,1.68,2.33,1.79,1.45,0.37,1.1,1.34,2.51,1.58,2.52,1.24,0.95,0.54,
October,,,,,,2.1,2.23,0.94,3.73,2.62,0.94,0.72,5.12,1.49,1.31,2.91,1.96,2.7,2.36,5.44,2.48,0.76,3.82,2.71,2.89,1.99,0.87,0.22,2.33,5.7,
November,,,,,,1.53,3.97,1.86,1.22,5.54,4.1,2.44,0.96,0.92,1.98,4.41,3.15,1.31,3.9,4.03,7.07,2.44,2.08,1.06,3.42,0.16,3.29,1.13,1.46,2.26,
December,,,,,,1.77,0.23,3.52,1.98,4.88,1.69,0.62,0.49,0.34,5.01,2.72,2.07,3.83,2.97,0.87,1.05,1.63,2.41,1.51,1.33,2.61,2.3,2.53,2.92,1.31,
Total,,,,,,21.35,22.91,31.05,24.03,20.79,25.11,25.84,23.07,17.58,21.65,28.12,25.28,29.47,20.68,28.7,24.78,26.37,23.69,19.99,20.58,19.31,26.98,19.02,21.42,19.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back years 1925-1928 copied from original record book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sent in Feb 1930 and corrected to right day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 July 1 Gauge moved 200ft SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Moved to Bayfordbury Herts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
