SITTINGBOURNE-TORRY-HILL (KIPPEN),,,,,,,,,,,,,,,,,,,
Grid ref,TQ898572,Long,0.72018088,Lat,51.282314,Elevation,490,ft,,,,,,,,,,,
Station no,311,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,
January,,,,,,,2.21,3.82,2.27,2.53,,,,,,,,,
February,,,,,,,4.42,2.77,0.02,2.08,,,,,,,,,
March,,,,,,,1.16,1.67,2.03,1.94,,,,,,,,,
April,,,,,,,0.28,1.82,3.1,0.72,,,,,,,,,
May,,,,,,,1.71,2.21,0.91,2.56,,,,,,,,,
June,,,,,,,2.23,4.68,1.21,1.47,,,,,,,,,
July,,,,,,,4.18,1.47,2.83,3.4,,,,,,,,,
August,,,,,,,3.1,4.21,0.96,4.79,,,,,,,,,
September,,,,,,,3.04,3.7,0.3,3.59,,,,,,,,,
October,,,,,,,1.31,3.99,2.23,6.92,,,,,,,,,
November,,,,,,,3.5,1.93,4.83,6.41,,,,,,,,,
December,,,,,,,2.97,3.97,5.72,3.91,,,,,,,,,
Total,,,,,,,30.11,36.24,26.41,40.32,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1957 Gauge moved,,,,,,,,,,,,,,,,,,,
