SITTINGBOURNE-TORRY-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ907572,Long,0.73307038,Lat,51.282014,Elevation,497,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.14,1.12,3.5,2.6,2.63,1.86,3.01,1.59,5.25,5.96,3.62,6.05,2.32,3.82,2.39,4.93,1.59,2.76,1.99,2.38,3.91,1.37,2.36,3.2,2.59,0.91,1.67,3.76,4.74,,,,
February,,,,,,,,,1.27,0.52,1.92,2.55,0.56,1.76,0.21,4.25,2.13,4.52,1.09,1.83,2.12,2.44,0.93,1.62,1.55,1.89,3,1.93,1.53,1.2,4.65,7.16,1.21,1.44,2.41,2.13,1.14,,,,
March,,,,,,,,,2.34,0.05,1.3,0.36,1.4,2.71,3.19,0.25,1.02,5.32,0.78,1.87,3.67,2.4,2.95,0.27,0.17,1.46,1.86,5.68,1,1.02,0.89,3.68,4.07,0.31,2.73,1.57,0.65,,,,
April,,,,,,,,,2.57,1.33,1.54,4.28,2.6,0.87,2.62,3.13,1.98,2.48,0.66,2.65,1.59,2.7,1.28,1.39,1.45,1.07,2.87,1.7,1.76,1.75,2.18,2.54,1,1.98,0.29,0.23,1.21,,,,
May,,,,,,,,,3.3,1.33,5.31,2.69,3.18,1.67,0.97,2.27,0.42,2.95,2.62,2.16,0.73,1.94,4.26,3.24,0.46,1.9,3.08,1.15,1.84,1.88,2.16,2.22,1.1,2.56,1.81,4.01,0.41,,,,
June,,,,,,,,,2.71,1.59,0.86,1.15,0.92,2.24,1.08,2.05,3.66,2.14,1.17,1.9,1.39,1.76,0.66,1.57,1.58,0.56,2.09,2.42,4.03,0.73,1.61,1.56,1.05,2.24,5.09,2.31,2.4,,,,
July,,,,,,,,,1.2,1.26,3.13,2.89,3.76,1.65,1.21,0.89,3.73,0.84,1.73,2.08,3.48,2.56,2.99,2.83,2.85,2.78,2.43,2.51,2.12,0.47,2.66,1.96,0.85,3.93,3.22,2.67,3.54,,,,
August,,,,,,,,,2.68,2.18,5.35,2.98,0.49,0.99,1.81,3.38,1.21,1.14,2.29,1.75,0.15,4.01,1.89,1.53,3.4,2.67,5.86,0,3.17,0.85,2.63,4.25,3,2.09,3.55,4.07,3.93,,,,
September,,,,,,,,5.32,0.77,0.44,4.81,2.59,2.56,3.97,1.63,3.53,2.45,2.7,1.9,1.4,1.09,0.31,2.88,2.31,3,0.9,2.74,1.59,1.68,1.81,2.66,4.23,3.7,3.4,1.79,2.82,2.56,,,,
October,,,,,,,,1.91,5.72,3.65,1.61,0.39,7.4,1.57,2.08,3.78,2.63,4.4,3.42,9.59,4.71,1.98,4.11,2.91,4.83,2.28,2.13,0.68,1.71,7.5,0.43,1.28,2.55,2.53,2.36,5.41,1.69,,,,
November,,,,,,,,3.01,4.62,7.27,5.84,4.4,1.24,1.51,3.05,5.98,4.86,2.31,2.98,6.11,7.48,4.27,2.35,1.52,4.99,0.46,5.08,1.34,1.74,3.86,6.26,4.24,4.87,1.73,6.49,1.14,0.9,,,,
December,,,,,,,,5.69,3.58,6.87,2.78,0.7,0.55,0.57,6.11,3.89,2.36,5.32,3.74,1.86,1.95,2.1,2.75,2.47,2.29,4.41,3.02,3.14,3.53,1.55,2.52,2.98,3.59,0.81,1.79,2.34,3.86,,,,
Total,,,,,,,,,34.9,27.61,37.95,27.58,27.29,21.37,26.97,34.99,31.7,40.08,26,39.25,30.68,30.29,29.44,26.59,28.16,23.14,36.15,24.52,28.02,23.99,31.01,39.3,29.58,23.93,33.2,32.46,27.03,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Total IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
