"THURSTASTON DAWPOOL",,,,,,,,,,,,
Grid ref,SJ245843,Long,-3.135661,Lat,53.350176,,,,,,,
Station no,RR4120,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.25,1.24,2.00,1.70,2.00,1.54,3.55,1.09,,,,
February,3.00,2.05,3.10,2.00,2.07,1.75,1.50,1.20,,,,
March,1.00,0.70,1.40,0.12,1.50,2.40,1.70,1.50,,,,
April,1.70,1.50,1.00,0.52,0.90,1.50,0.84,1.05,,,,
May,1.20,1.30,2.50,2.12,1.80,0.50,2.15,2.27,,,,
June,1.95,3.50,3.08,2.48,0.80,2.25,1.03,3.50,,,,
July,2.20,1.00,2.30,2.50,1.20,1.50,0.75,2.30,,,,
August,3.30,0.40,4.00,2.04,3.00,2.75,0.96,2.45,,,,
September,1.96,2.00,0.50,3.75,2.50,0.90,1.45,0.23,,,,
October,2.50,1.10,3.00,5.00,1.25,1.95,3.75,1.60,,,,
November,3.42,2.20,1.75,3.00,1.54,2.52,1.38,3.65,,,,
December,3.10,2.45,1.20,1.98,1.75,0.59,2.40,2.06,,,,
Total,28.58,19.44,25.83,27.21,20.31,20.15,21.46,22.90,,,,
Calc annual,28.58,19.44,25.83,27.21,20.31,20.15,21.46,22.90,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,,
