THURSTASTON-DAWPOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ245843,Long,-3.135661,Lat,53.3502,Elevation,200,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,1.86,0.95,0.54,2.59,0.95,,1.04,1.25,-999,1.15,2.13,1.1,2.5,3.25,1.24,2,1.7,2,1.54,3.55,1.09,,
February,,,,,,,,0.92,0.7,1.91,0.76,0.35,,2.6,2.45,-999,0.9,1.6,1.5,1.4,3,2.05,3.1,2,2.07,1.75,1.5,1.2,,
March,,,,,,,,1.3,2.65,1.85,1.38,0.69,,0.24,1.5,1,4.55,3.75,0.6,0.95,1,0.7,1.4,0.12,1.5,2.4,1.7,1.5,,
April,,,,,,,,0.64,1.25,3.15,1.14,2.62,,0.75,2.3,0.54,1.56,3.5,1.5,1.5,1.7,1.5,1,0.52,0.9,1.5,0.84,1.05,,
May,,,,,,,,1.65,0.38,2.35,1.52,1.91,,1.8,2,1,0.25,0.9,3.8,2.5,1.2,1.3,2.5,2.12,1.8,0.5,2.15,2.27,,
June,,,,,,,,0.5,1.12,1.34,3.18,4.16,,1.3,2.15,0.95,3.2,2.25,2.34,2,1.95,3.5,3.08,2.48,0.8,2.25,1.03,3.5,,
July,,,,,,,,1.3,5.23,2.08,2.02,2.93,,1.7,2.75,3.1,1.8,1.5,0.63,2.25,2.2,1,2.3,2.5,1.2,1.5,0.75,2.3,,
August,,,,,,,,1.53,2.59,4.12,3.94,4.28,,2.05,3.35,1.57,3.75,3.3,3,1.1,3.3,0.4,4,2.04,3,2.75,0.96,2.45,,
September,,,,,,,,2.85,1.2,2.43,1.31,3.49,,3.5,0.85,2,2.09,1.1,1.4,4,1.96,2,0.5,3.75,2.5,0.9,1.45,0.23,,
October,,,,,,,,2.85,1.79,3.12,1.89,3.6,,2.5,3.3,4,2.05,1.15,2.6,2,2.5,1.1,3,5,1.25,1.95,3.75,1.6,,
November,,,,,,,,0.8,4.18,2.77,5.49,3.12,,1.25,2.5,2.25,2.95,3.19,1.74,1.2,3.42,2.2,1.75,3,1.54,2.52,1.38,3.65,,
December,,,,,,,,1.8,1.02,2.77,1.36,3.53,,3.2,2.1,2.63,3.2,2.55,1.69,1.5,3.1,2.45,1.2,1.98,1.75,0.59,2.4,2.06,,
Total,,,,,,,,18,23.06,28.43,26.58,31.63,,21.93,26.5,22.38,27.45,26.92,21.9,22.9,28.58,19.44,25.83,27.21,20.31,20.15,21.46,22.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Dawpool. Altitudes from OS map. Inspector regularly notes record unreliable and/or inaccurate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
