GATE BURTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK838831,Long,-0.743,Lat,53.338,Elevation,97,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.22,0.42,2.53,1.26,2.60,2.07,1.80,2.35,1.59,1.69,1.32,2.36,1.32,3.59,1.49,2.90,2.66,1.06,1.80,1.44,1.77,3.32,3.34,1.42,4.33,1.60,2.43,2.47,3.08,2.30,1.87,1.66,2.10,4.25,1.03,0.98,1.58,1.85,0.71,1.00,1.68,3.00,1.38,1.94,2.31,4.62
February,2.28,3.40,0.70,1.60,2.35,1.83,0.22,2.65,3.65,0.88,1.71,1.27,1.51,1.69,0.95,0.54,2.20,0.67,1.96,0.68,1.78,2.26,1.96,1.24,0.80,1.79,3.22,0.58,0.74,1.96,1.51,2.85,1.59,1.15,0.40,3.78,2.68,0.50,1.56,2.43,2.49,0.94,1.67,2.72,0.56,1.67
March,0.81,3.73,1.55,0.70,2.66,3.19,0.94,1.74,1.20,1.09,0.83,0.29,1.73,1.75,0.16,2.00,0.33,1.21,2.52,1.76,0.43,0.93,1.92,0.26,1.53,1.88,3.35,1.98,0.43,0.32,0.63,0.81,3.80,0.56,1.08,0.86,2.55,2.49,0.83,1.55,2.27,0.59,1.60,1.49,1.70,1.31
April,0.63,1.23,1.47,0.84,1.91,3.85,1.05,2.19,1.13,1.30,1.88,2.34,2.18,0.85,0.76,2.36,2.96,1.58,0.78,2.16,2.09,1.19,2.75,0.05,1.42,1.34,1.13,0.66,0.95,2.13,1.19,1.30,1.84,1.42,1.51,2.28,0.91,0.83,2.22,0.30,0.88,1.49,0.17,0.34,1.75,1.07
May,1.73,2.10,1.94,2.40,1.00,1.79,1.64,1.37,2.95,2.54,3.13,1.78,1.43,1.77,0.88,1.36,2.86,5.67,1.69,0.86,0.31,1.08,2.87,2.61,1.26,0.33,1.58,2.90,2.09,1.87,1.30,1.17,1.17,1.68,1.42,1.73,3.54,1.66,2.68,3.61,2.81,0.44,0.77,1.87,0.33,0.65
June,0.60,2.07,1.19,0.97,0.97,1.89,0.36,1.11,1.24,1.30,0.11,2.85,3.23,1.70,1.01,1.32,3.73,0.63,1.51,1.17,2.48,3.89,2.46,1.47,2.35,0.77,0.29,1.68,2.00,2.20,2.09,3.32,2.40,2.62,0.93,1.02,0.97,1.95,2.73,2.60,3.14,3.90,1.95,5.10,0.51,0.67
July,4.85,2.24,1.14,2.94,2.57,3.48,0.44,3.99,3.13,2.07,0.78,1.26,3.06,0.64,1.15,3.45,3.41,2.79,2.18,1.48,0.53,6.07,2.83,3.58,4.27,4.90,2.99,1.50,0.91,1.84,1.78,2.65,1.66,1.29,2.45,2.47,1.18,1.11,2.67,1.96,0.30,4.49,4.29,5.79,1.15,3.26
August,3.09,2.11,5.15,2.01,2.28,0.73,3.20,2.88,2.68,2.24,1.91,2.49,3.06,2.12,2.03,3.10,5.19,1.59,0.28,1.45,1.03,2.65,0.30,1.71,2.40,0.47,2.54,2.01,1.10,3.87,2.35,4.01,0.28,2.97,1.72,1.93,6.03,1.29,2.03,4.16,0.29,5.65,2.91,1.75,0.74,4.14
September,0.78,1.40,0.74,3.97,1.81,1.69,0.63,2.44,2.44,2.17,2.71,0.91,3.98,0.45,0.78,4.01,3.30,1.22,1.48,1.08,3.37,2.39,1.10,3.26,0.74,0.69,0.38,1.42,2.68,2.74,1.07,2.51,0.91,1.81,0.77,3.32,1.58,1.69,1.08,1.98,0.53,1.23,4.26,1.57,0.01,2.24
October,0.92,1.49,2.39,1.18,2.49,1.60,1.16,0.87,1.38,4.08,2.39,2.01,1.42,4.65,2.92,2.39,0.71,3.13,4.56,0.85,2.69,2.11,1.86,2.15,3.82,3.73,3.00,1.76,1.86,2.70,2.48,1.04,0.41,1.50,2.85,0.84,1.41,2.07,2.28,3.18,1.14,1.11,0.95,1.84,1.74,4.56
November,1.87,2.49,0.98,1.78,1.89,1.02,1.45,0.77,1.75,1.40,2.43,3.23,2.34,2.07,4.39,3.00,2.54,1.25,1.56,1.80,4.34,2.31,1.36,2.11,3.65,4.61,2.87,1.57,1.59,3.53,0.48,4.90,1.51,0.98,3.22,3.76,5.08,1.88,1.46,4.41,1.15,0.84,2.27,0.97,2.10,3.12
December,4.16,2.08,1.01,3.51,3.20,2.27,1.65,2.49,2.67,2.02,1.49,0.64,2.19,1.91,4.01,1.81,1.08,0.77,0.43,3.72,2.28,0.96,3.28,3.62,1.83,1.96,0.58,1.96,0.75,1.37,1.45,2.67,1.74,3.26,2.08,1.67,1.72,1.29,1.02,2.43,2.05,1.56,1.80,2.84,3.08,2.57
Total,23.94,24.76,20.79,23.16,25.73,25.41,14.54,24.85,25.81,22.78,20.69,21.43,27.45,23.19,20.53,28.24,30.97,21.57,20.75,18.45,23.10,29.16,26.03,23.48,28.40,24.07,24.36,20.49,18.18,26.83,18.20,28.89,19.41,23.49,19.46,24.64,29.23,18.61,21.27,29.61,18.73,25.24,24.02,28.22,15.98,29.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1979 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
