GATE BURTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK841833,Long,-0.738,Lat,53.340,Elevation,96,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902
January,,0.94,1.04,1.53,0.75,1.56,1.29,2.44,1.63,2.58,0.95,0.75,2.52,1.71,1.17,2.97,1.57,3.16,1.76,0.85,0.27,0.60,2.00,2.18,2.73,1.49,3.03,2.07,0.50,1.46,2.01,1.01,1.01,1.59,1.45,3.59,0.83,2.03,0.54,1.87,2.77,1.03,0.90
February,,2.53,0.96,0.23,1.25,1.69,2.04,1.16,1.74,1.40,1.64,1.59,2.40,1.10,1.35,1.20,1.70,1.96,1.30,3.12,1.63,3.26,0.79,2.81,1.32,2.38,0.24,0.56,1.15,1.25,0.92,0.08,1.36,2.03,1.78,0.17,0.65,2.96,0.64,1.10,3.66,1.34,1.48
March,,1.96,3.17,0.74,1.63,1.37,1.25,2.22,1.04,2.38,1.66,0.63,1.34,1.30,0.53,0.72,2.89,1.93,0.47,0.69,1.02,1.88,1.27,0.91,1.44,1.14,2.15,1.36,1.61,3.77,1.68,0.91,0.87,0.44,0.50,1.76,1.61,2.21,1.28,0.94,0.55,2.02,1.70
April,0.47,1.07,1.70,0.59,1.07,0.95,1.47,2.29,1.50,2.13,0.67,2.89,2.78,0.72,1.48,0.96,1.87,2.73,1.33,1.40,2.09,0.85,2.80,1.72,1.37,1.94,1.47,0.99,1.01,2.14,0.46,1.35,0.90,0.34,2.70,1.49,0.86,0.81,2.28,2.09,1.17,1.34,2.20
May,2.51,0.56,2.39,0.50,2.32,2.60,1.17,2.16,1.12,5.61,0.88,1.32,1.47,1.53,1.17,1.00,0.48,2.39,3.36,3.11,1.44,1.25,2.09,1.56,0.65,2.00,4.61,1.59,0.85,3.84,2.15,3.01,3.13,1.70,1.10,0.88,0.55,1.54,1.83,2.53,1.61,1.09,2.63
June,4.01,3.54,1.74,3.12,1.63,1.69,2.93,2.24,0.74,1.54,1.66,2.57,2.49,1.88,1.62,2.28,2.44,1.56,2.13,3.47,3.76,1.68,3.32,4.08,0.51,2.84,0.97,0.34,2.02,0.45,1.63,3.64,3.25,1.14,2.17,1.31,2.03,2.54,0.66,1.69,2.98,2.07,2.43
July,1.94,3.74,2.15,1.56,0.57,2.05,2.56,3.01,0.46,0.33,0.66,3.63,3.48,2.32,1.54,4.49,1.46,2.66,0.98,4.67,4.61,1.28,2.01,3.97,3.03,0.49,2.70,1.55,5.30,1.30,1.96,2.93,2.20,3.82,2.78,5.24,1.95,0.57,0.66,1.32,3.17,3.79,1.63
August,4.93,0.53,1.70,1.96,1.83,3.65,2.71,2.38,3.56,2.11,1.35,0.57,2.79,2.44,1.99,2.00,1.63,3.96,5.35,2.23,1.57,5.72,3.44,0.74,1.53,1.27,1.96,0.81,2.10,3.28,2.09,2.45,3.13,1.43,1.93,1.72,1.65,3.14,2.76,0.88,6.12,1.51,3.52
September,3.24,1.64,4.40,2.01,1.75,0.22,3.69,1.50,2.82,3.68,0.74,4.46,2.59,1.57,1.43,1.90,2.92,2.99,2.26,2.00,3.97,1.55,1.41,4.82,1.29,2.02,1.13,1.85,1.07,1.74,1.15,0.97,1.15,0.82,0.81,0.58,4.03,2.29,1.01,2.36,0.97,1.77,0.74
October,1.71,0.94,2.21,2.82,2.11,5.00,2.54,1.73,2.05,1.76,4.88,1.20,3.73,1.91,2.07,3.92,2.01,1.52,2.38,0.93,5.25,1.73,5.07,2.77,0.89,5.08,3.25,2.05,0.56,3.83,0.74,3.15,3.97,1.41,2.25,2.80,4.06,1.25,2.56,3.00,2.20,1.56,2.34
