"DENTON",,,,,,,,,,,,
Grid ref,SK866325,Long,-0.714518,Lat,52.883000,,,,,,,
Station no,2533/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.00,1.74,0.99,1.09,2.20,3.51,1.42,2.84,3.07,4.69,,
February,3.82,0.50,1.72,2.41,2.86,0.98,2.29,3.50,0.18,1.35,,
March,3.22,2.73,1.01,2.07,2.32,0.94,1.63,1.78,2.18,1.62,,
April,2.29,1.12,2.55,0.58,1.29,1.65,0.36,0.50,2.42,0.77,,
May,2.55,1.56,1.63,3.76,3.51,0.76,1.03,2.30,0.66,1.06,,
June,1.12,2.72,2.66,2.70,3.35,3.47,2.03,4.95,0.80,1.89,,
July,0.95,0.30,1.82,2.12,1.04,3.05,3.21,4.04,1.16,3.19,,
August,4.39,3.36,1.97,4.16,1.07,4.69,2.16,2.54,0.90,4.59,,
September,0.88,1.90,1.07,2.23,1.07,2.13,4.77,3.08,0.15,3.77,,
October,1.44,3.57,2.15,2.84,1.87,1.36,0.96,1.64,1.94,5.96,,
November,5.44,2.02,1.59,4.96,1.15,1.08,2.23,1.64,2.22,3.52,,
December,1.70,2.39,0.94,2.81,1.46,2.14,2.29,3.13,3.44,3.97,,
Total,30.80,23.91,20.10,31.73,23.19,25.76,24.38,31.94,19.12,36.38,,
Calc annual,30.80,23.91,20.10,31.73,23.19,25.76,24.38,31.94,19.12,36.38,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
