DENTON,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK866325,Long,-0.715,Lat,52.883,Elevation,300,ft,,,,,,,,,,,,,,,
Station no,2533/2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.94,3.57,2.16,2.19,1.81,2.26,4.26,0.75,0.75,3.00,1.74,0.99,1.09,2.20,3.51,1.42,2.84,3.07,4.69
February,,,,,,,1.74,1.48,3.42,2.90,1.16,0.85,3.43,3.82,0.50,1.72,2.41,2.86,0.98,2.29,3.50,0.18,1.35
March,,,,3.37,1.23,0.63,,0.60,1.05,2.56,0.41,0.41,0.62,3.22,2.73,1.01,2.07,2.32,0.94,1.63,1.78,2.18,1.62
April,,,,1.88,0.94,0.60,2.17,0.68,1.58,1.92,1.53,1.69,2.49,2.29,1.12,2.55,0.58,1.29,1.65,0.36,0.50,2.42,0.77
May,2.55,,,2.52,3.12,2.22,-999.00,1.72,1.39,1.49,2.27,2.20,2.72,2.55,1.56,1.63,3.76,3.51,0.76,1.03,2.30,0.66,1.06
June,0.86,,,0.48,1.57,,-999.00,2.17,2.71,2.20,1.77,0.47,1.74,1.12,2.72,2.66,2.70,3.35,3.47,2.03,4.95,0.80,1.89
July,2.60,,,3.64,2.50,1.30,1.93,2.17,1.41,1.57,1.13,3.46,2.84,0.95,0.30,1.82,2.12,1.04,3.05,3.21,4.04,1.16,3.19
August,3.14,,,4.41,2.46,1.35,2.71,1.86,4.33,0.07,2.71,2.52,1.31,4.39,3.36,1.97,4.16,1.07,4.69,2.16,2.54,0.90,4.59
September,1.79,,,0.55,1.22,1.69,4.55,0.64,3.37,0.99,2.73,1.16,3.05,0.88,1.90,1.07,2.23,1.07,2.13,4.77,3.08,0.15,3.77
October,1.87,,,2.40,2.50,2.15,2.32,3.12,1.80,0.28,2.11,3.96,0.90,1.44,3.57,2.15,2.84,1.87,1.36,0.96,1.64,1.94,5.96
November,1.60,,,2.80,2.47,,2.80,0.21,4.60,0.85,1.33,2.78,3.73,5.44,2.02,1.59,4.96,1.15,1.08,2.23,1.64,2.22,3.52
December,3.99,,,0.39,1.68,0.82,1.05,1.74,2.91,2.14,3.34,1.59,1.24,1.70,2.39,0.94,2.81,1.46,2.14,2.29,3.13,3.44,3.97
Total,,,,,,,,18.58,30.38,19.23,24.75,21.84,24.82,30.80,23.91,20.10,31.73,23.19,25.76,24.38,31.94,19.12,36.38
,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/092,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/176,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/178,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# Readings for the following months are estimates and have been omitted:,,,,,,,,,,,,,,,,,,,,,,,
# - January-February 1941,,,,,,,,,,,,,,,,,,,,,,,
# - February 1942,,,,,,,,,,,,,,,,,,,,,,,
"# - February, June, November 1943",,,,,,,,,,,,,,,,,,,,,,,
# - March 1944,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
# The readings for May-June 1944 are apportioned.,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
# The readings for January and September 1942 are part-estimated and have been retained.,,,,,,,,,,,,,,,,,,,,,,,
# The reading for April 1943 is part-estimated and has been retained.,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1961 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,
