GODALMING-OCKFORD-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU961433,Long,-0.626502,Lat,51.180866,Elevation,152,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,184/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.58,4.87,6.73,2.83,5.35,3.01,2.81,2.7,6.27,2.1,1.68,2.8,2.35,5.4,0.94,0.88,3.8,2.22,1.3,,,,,,,
February,,,,,4.27,2.29,4.24,0.51,1.37,2.53,2.8,0.9,1.55,0.69,2.37,2.64,1.61,1.47,1.33,5.67,7.14,0.73,1.52,,,,,,,
March,,,,,,1.35,4.93,0.3,1.46,3.18,2.93,1.9,0.47,0.1,0.87,1.14,5.42,0.95,1.11,1.63,4.58,2.59,0.59,,,,,,,
April,,,,,3.2,1.51,2.49,0.12,2.45,1.7,1.2,1.9,1.01,1.13,1.09,2.82,2.41,1.93,1.66,2.57,2.53,1.71,2.13,,,,,,,
May,,,,,1.28,0.77,2.52,1.18,2.19,0.99,2.28,3.69,3.08,0.76,1.65,3.54,1.72,2.53,2.34,1.8,2.64,2.46,2.28,,,,,,,
June,,,,,3.62,2.19,1.72,0.56,1.45,0.97,1.74,0.42,1.3,1.63,2.23,2.42,2.44,2.57,0.44,1.12,1.11,1.55,1.42,,,,,,,
July,,,,,,3.4,0.62,1.88,3.59,3.42,2.71,1.87,1.67,1.44,5.72,2.13,1.04,0.89,0.91,4.23,1.79,0.85,3.88,,,,,,,
August,,,,,3.12,1.55,0.92,2.14,2.04,0.03,4.56,3.15,1.24,1.48,1.34,4.97,0.42,3.73,0.97,3.58,4.36,2.75,1.31,,,,,,,
September,,,,,4.36,2.33,2.03,1.72,0.69,1.55,0.14,1.84,1.63,2.13,2.25,4.06,1.09,1.91,1.13,3.24,2.93,3.46,2.49,,,,,,,
October,,,,,3.94,2.06,3.42,2.81,5.4,3.85,1.16,3.46,3.03,4.43,3.32,1.17,0.61,1.72,8.34,0.48,0.88,3.48,,,,,,,,
November,,,,,6.42,3,2.48,4.87,4.99,7.62,3.51,1.83,1.58,4.48,0.16,5.82,1.16,1.53,3.15,6.05,8.8,3.48,,,,,,,,
December,,,,,3.83,2.76,3.96,3.77,1.28,1.45,1.93,3.51,1.93,2.93,4.68,3.33,3,4.77,1.74,1.97,3.83,2.14,,,,,,,,
Total,,,,,,28.08,36.06,22.69,32.26,30.3,27.77,27.17,24.76,23.3,27.36,36.84,23.27,29.4,24.06,33.22,44.39,27.42,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumping Station not found NGR on sheet near WW at lowest elevation in area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Mar July Marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 June Gauge moved from concrete base to grass and set 1ft above ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Gauge transferred to Vann PS 3.5 miles NNW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
