GODALMING (OCKFORD PUMPING STATION),,,,,,,,,,,,
Grid ref,SU961433,Long,-0.626502,Lat,51.180866,,,,,,,
Station no,184/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.80,2.22,1.30,,,,,,,,,
February,7.14,0.73,1.52,,,,,,,,,
March,4.58,2.59,0.59,,,,,,,,,
April,2.53,1.71,2.13,,,,,,,,,
May,2.64,2.46,2.28,,,,,,,,,
June,1.11,1.55,1.42,,,,,,,,,
July,1.79,0.85,3.88,,,,,,,,,
August,4.36,2.75,1.31,,,,,,,,,
September,2.93,3.46,2.49,,,,,,,,,
October,0.88,3.48,,,,,,,,,,
November,8.80,3.48,,,,,,,,,,
December,3.83,2.14,,,,,,,,,,
Total,44.39,27.42,,,,,,,,,,
Calc annual,44.39,27.42,16.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
