Rainfall at,GIRVAN, PINMORE
,
Station no,5271,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,7.10,8.15,7.11,5.14,6.24,4.27,7.93,7.21,9.15,2.20,6.18,
February,4.20,0.98,4.90,7.23,1.45,6.30,4.18,2.78,4.08,2.68,0.30,
March,5.19,7.24,1.95,2.41,0.96,1.69,3.04,6.09,5.86,1.13,3.29,
April,3.07,1.78,3.48,2.44,5.45,4.50,2.50,3.27,2.09,1.33,2.15,
May,4.00,2.55,3.24,3.47,3.45,5.69,3.10,2.83,1.28,4.43,2.09,
June,2.74,0.93,4.00,2.28,2.80,0.55,2.21,4.50,4.38,3.21,2.33,
July,3.75,4.76,3.44,5.03,3.51,2.67,4.17,3.69,2.56,3.06,3.48,
August,4.48,5.40,2.89,8.30,4.64,3.00,3.21,3.24,5.28,5.53,6.62,
September,3.00,2.74,2.62,6.87,6.88,4.37,4.60,6.92,3.15,1.46,5.52,
October,5.75,5.01,1.99,7.71,3.24,6.18,6.25,5.45,7.94,6.51,9.06,
November,4.18,3.96,4.42,7.26,4.27,2.39,5.96,5.75,8.02,7.45,6.46,
December,4.89,8.22,3.96,7.31,6.31,4.56,2.54,1.60,6.11,11.61,5.49,
Total,52.35,51.72,44.00,65.45,49.20,46.17,49.69,53.33,59.90,50.60,52.97,
Calc annual,52.35,51.72,44.00,65.45,49.20,46.17,49.69,53.33,59.90,50.60,52.97,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,
