GIRVAN PINMORE,,,,,,,,,,,,
Grid ref,NX205902,Long,-4.820089,Lat,55.173433,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.50,3.59,6.06,6.74,6.01,3.34,6.11,3.09,5.25,5.04,,
February,5.08,3.08,1.97,5.13,4.07,4.32,3.43,3.27,4.28,3.70,,
March,0.72,2.71,4.90,6.82,3.19,4.81,3.14,4.44,5.85,3.47,,
April,4.14,6.00,2.76,2.15,4.12,3.22,2.38,4.27,2.07,3.12,,
May,4.47,2.52,3.59,3.51,3.25,1.22,5.48,4.66,2.52,1.80,,
June,1.74,3.65,1.81,3.09,3.17,2.35,2.51,6.75,3.25,3.05,,
July,3.17,0.60,3.53,4.75,4.96,2.82,3.47,3.21,4.58,7.70,,
August,5.12,5.98,2.98,5.85,6.41,5.48,4.45,5.88,4.65,3.41,,
September,4.27,4.10,5.28,4.31,4.71,3.74,1.88,1.72,5.70,2.82,,
October,8.37,5.85,2.91,10.47,3.14,4.98,10.21,8.49,2.04,8.26,,
November,5.16,5.44,4.74,4.97,6.76,6.11,4.19,6.40,6.00,2.06,,
December,7.35,6.88,5.82,5.46,4.56,4.50,6.89,5.49,5.96,6.20,,
Total,56.09,50.40,46.35,63.25,54.35,46.89,54.14,57.67,52.15,50.63,,
Calc annual,56.09,50.40,46.35,63.25,54.35,46.89,54.14,57.67,52.15,50.63,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
