"GLASGOW (BOTANIC GARDENS)",,,,,,,,,,,,
Grid ref,NS568675,Long,-4.290659,Lat,55.879304,,,,,,,
Station no,5176,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.62,5.15,1.32,5.52,2.50,2.83,5.66,3.60,1.47,3.22,,
February,2.81,1.63,1.50,3.76,2.41,1.37,3.12,2.69,1.51,3.13,,
March,2.78,2.42,0.88,2.42,1.88,2.41,4.12,1.03,1.77,2.23,,
April,2.21,2.02,1.89,1.68,1.71,1.16,2.08,1.19,3.10,3.00,,
May,1.89,1.93,2.35,3.31,3.17,1.91,2.95,3.21,1.15,2.86,,
June,2.63,2.65,2.35,3.21,2.03,2.91,2.11,3.03,2.86,2.77,,
July,3.73,3.02,4.50,3.08,1.20,5.21,3.02,4.55,4.33,3.61,,
August,4.43,3.67,3.45,5.52,0.99,5.43,3.84,5.31,0.53,3.72,,
September,3.21,2.90,3.44,5.22,3.47,5.09,2.71,3.56,1.41,2.37,,
October,1.04,3.99,2.23,9.38,2.98,2.87,4.00,3.15,4.47,3.04,,
November,6.16,2.18,6.15,6.23,2.01,1.57,1.61,1.85,5.00,4.81,,
December,5.53,4.02,4.72,5.11,6.34,4.31,4.30,4.64,6.24,4.46,,
Total,42.04,35.58,34.78,54.44,30.69,37.07,39.52,37.81,33.84,39.22,,
Calc annual,42.04,35.58,34.78,54.44,30.69,37.07,39.52,37.81,33.84,39.22,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
