"BOYTON (DITCHEN)",,,,,,,,,,,,
Grid ref,SX309947,Long,-4.397289,Lat,50.727247,,,,,,,
Station no,1948/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.25,2.41,5.63,5.21,3.48,5.29,6.83,4.50,,
February,,,2.11,5.18,3.89,0.41,6.24,5.10,0.44,4.82,,
March,,,1.31,3.37,1.14,1.42,3.98,1.46,5.72,2.85,,
April,,,3.04,0.82,1.56,1.18,0.10,1.11,4.04,4.90,,
May,,,3.34,3.68,3.91,1.09,2.39,3.06,1.46,2.11,,
June,,,2.24,4.43,2.56,2.55,3.94,4.95,1.19,1.98,,
July,,,4.73,4.89,0.83,3.73,3.83,3.10,2.92,7.25,,
August,,,2.61,3.97,0.11,4.02,4.00,6.71,1.83,5.09,,
September,,,4.58,4.67,2.05,5.92,5.33,7.50,0.21,7.16,,
October,,,2.90,3.99,3.65,2.62,4.32,3.79,7.28,10.56,,
November,,,3.34,7.85,3.64,2.42,2.63,4.36,10.27,7.34,,
December,,,1.93,4.33,8.38,6.19,3.04,5.98,10.71,6.79,,
Total,,,33.38,49.59,37.35,36.76,43.28,52.41,52.90,65.35,,
Calc annual,0.00,0.00,33.38,49.59,37.35,36.76,43.28,52.41,52.90,65.35,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
