DALKEY BELLEVUE PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IO2514026023,Long,-6.124785719,Lat,53.27001041,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,5.33,2.03,2.32,0.71,0.8,1.65,2.53,2,1.81,2.57,1.99,,,3.34,0.61,,,,,,,,
February,,,,,,,,1.29,1.84,4.4,3.29,2.4,1.86,4.55,5.27,3.45,2.39,0.42,,,0.97,0.08,,,,,,,,
March,,,,,,,,2.53,1.37,1.79,3.78,2.56,1.54,1.04,2.13,1.93,1.93,1.4,,,3.43,0.64,,,,,,,,
April,,,,,,,,4.95,2.04,2.5,2.18,1.2,3.3,1.54,1.35,3,1.31,0.77,,,0.7,1.67,,,,,,,,
May,,,,,,,,2.39,5.68,2.36,0.75,1.7,1.09,0.79,0.93,1.97,4.42,0.83,,,2.59,2.67,,,,,,,,
June,,,,,,,,0.42,3.97,3.59,2.69,2.36,1.18,2.53,1.1,1.86,1.57,0.18,,,1.41,1.61,,,,,,,,
July,,,,,,,,3,0.42,3.7,6.16,2.05,2.91,2.75,2.26,0.62,1.96,0.84,,,1.53,0.91,,,,,,,,
August,,,,,,,,3.42,5.5,3.48,2.02,4.8,1.55,2.7,0.7,2.5,1.09,2.02,,,2.36,3.11,,,,,,,,
September,,,,,,,,2.44,1.97,2.68,2.3,1.4,3.26,3.99,0.65,3.38,1.7,1.06,,,2.43,1.58,,,,,,,,
October,,,,,,,,2.38,2.22,1.21,5.43,3.2,2.99,1.69,0.71,3.55,5.67,2.32,,,0.5,3.73,,,,,,,,
November,,,,,,,,1.88,1.07,1.53,3.11,2.8,3.42,3.23,1.32,2.21,2.48,2.29,,,5.4,3.66,,,,,,,,
December,,,,,,,,2.46,1.26,1.05,2.7,1.7,2.65,0.88,1.46,0.25,2.11,1.23,,,2.47,3.56,,,,,,,,
Total,,,,,,,,32.49,29.37,30.61,35.12,26.97,27.4,28.22,19.88,26.53,29.2,15.35,,,27.13,23.83,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Kevan observer throughout although H.M. Anketell-Jones also appears on 1880s TYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belle Vue owned by the Anketell Jones family until the 1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Now occupied by the St Joseph of Cluny convent and school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation for the school. Elevation on records varies from 148 to 293 ft although no indication of gauge moves.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
