TODMORDEN SOURHALL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD918246,Long,-2.125731,Lat,53.717746,Elevation,1020,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,4.36,9.29,7.42,3.86,4.69,6.27,6.06,3.05,8.4,2.75,5.04,3.6,6.61,2.95,5.92,5.58,5.23,8.33,5.66,3.99,4.24,5.25,5.4,10.01,4.7,6.57,4.57,5.76,7.22,5.56,14.32,1.77,8.79,8.27,8.28,4.58,5.23,2.44,5.48,5.54,8.22,6.02,2.43,2.5,5.8,7.9,8.3,4.85,7.15,5.22,11.64,4.05,3.7,5.47,6.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,5.09,2.97,5.66,2.33,2.69,6.28,5.36,3.36,4.56,3.38,4.98,3.9,6.97,6.64,2.84,2.75,5.22,7.42,7.21,1.43,8.53,1.62,4.84,0.78,6.66,7.86,1.96,8.48,4.88,2.66,6.62,1.05,0.86,6.75,0.2,4.04,0.63,7.99,2.8,6.65,2.79,6.32,3.28,5.51,2.11,3.55,2.9,7.67,8.18,4.49,4.81,4.44,6.46,5.21,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.36,3.64,1.1,5.23,2.97,7.37,3.43,4.45,4.27,4.53,4.32,4.12,1.68,2.8,7.83,7.04,7.26,2.06,4.17,4.32,2.79,7.21,5.41,5.13,4.85,2.75,2,2.34,2.81,5.54,4.12,1.47,2.34,0.51,3.55,3.67,3.64,2.25,3.34,2.64,2.18,4.53,4.19,5.01,5.93,1.49,0.86,1.82,1.51,8.63,2.48,2.94,3.84,6.42,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,3.06,4.72,3.5,3.17,3.11,2.81,4.21,4.08,2.19,3.13,3.25,4.48,5.66,3.44,1.69,6.38,2.64,2.86,4.52,1.75,1.98,2.58,8.07,2.29,4.36,4.7,2.56,3.79,2.48,5.3,1.06,1.88,3.7,5.14,5.43,2.24,3.54,4.85,1.55,4.04,1,2.76,4.01,3.1,3.37,3.34,4.89,3.26,1.75,5.23,3.52,5.14,4.94,3.17,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,3.62,3.69,2.5,1.96,4.17,4.22,3.52,0.93,4.68,4.97,3.65,2.72,4.39,2.45,3.87,4.58,3.09,3.54,3.44,2.47,2.6,2.55,6.41,3.31,2.12,5.68,6.87,4.56,5.04,1.93,1.98,3.87,2.94,3.12,4.99,3.04,4.2,1.08,1.47,2.64,5.2,2.08,1.97,3.13,4.84,3.74,4.88,5.6,1.68,2.57,1.97,3.85,2.52,2.94,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,3.36,1.85,4.62,2.39,1.8,1.43,1.42,3.06,1.79,8.5,2.12,3.12,4.15,5.12,7.51,3.47,2.96,1.19,3.52,2.55,2.43,2.15,2.91,0.37,3.72,1.59,2.83,0.11,3.98,4.79,9.5,1.72,1.94,7.49,1.33,2.8,3.67,5.05,4.54,3.15,5.63,4.27,0.93,0.78,1.32,5.15,4.2,6.4,5.02,3.4,7.27,0.79,2.83,1.59,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,1.45,3.21,3.38,1.9,3.63,4.18,2.3,2.82,2.98,3.16,5.15,7.58,5.61,0.77,5.22,1.25,5.38,5.77,2.76,2.55,4.94,2.74,9.67,2.15,6.05,4.78,5.26,1.75,2.49,5.39,2.37,2.41,6.71,6.1,4.63,4.03,3.33,2.8,5.79,2.68,5.95,7.82,5.43,2.36,5.68,3.06,3.99,3.5,4.41,3.66,2.4,2.14,5.38,4.4,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,6.12,1.84,7.39,3.19,4.05,6.51,6.25,5.64,4.97,4.79,5.28,3.64,6.98,3.12,8.28,2.69,3.65,6.04,3.96,7.43,4.42,5.11,3.34,6.91,6.75,8.38,7.81,5.55,5,9.34,7.49,5.16,7.93,6.27,1.7,2.45,4.61,2.26,2.96,2.59,5.44,4.88,2.68,8.31,5.98,6.96,3.84,4.76,7.76,0.41,6.2,4.55,7.74,6.46,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.09,10.13,2.28,1.89,2.21,6.6,1.92,3.86,1.7,1.03,4.78,3.46,0.52,4.49,2.86,2.16,4.18,0.79,3.3,2.46,14.87,2.42,2.63,2.43,3.92,6.29,6.5,4.29,4.79,7.44,0.73,2.29,5.93,4.52,6.27,1.79,4.61,9.96,5.36,2.6,2.45,1.68,4.99,0.9,2.85,6.02,8.27,4.16,8.05,3.75,4.03,1.71,9.02,3.54,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,6,3.76,7.07,4.96,5.09,12.97,2.52,4.97,9.28,6.05,2.62,7.23,4.35,4.79,6.07,1.65,3.15,2.2,10.2,10.18,4.48,3.35,2.3,3.44,1.22,7.63,6.51,7.5,4.69,6.59,6.7,7.33,7.44,3.51,9.06,6.8,6.67,12.18,6.23,2.4,12.84,2.72,5.71,5.16,7.17,3.74,6.03,6.8,1.37,1.57,3.08,6.57,3.56,1.36,6.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,3.35,2.49,5.62,9.15,3.34,3.93,4.85,5.85,6.18,4.37,4.09,2.46,6.64,6.12,4.71,7.09,8,3,4.75,6.95,3.01,4.03,3.48,3.38,4.86,8.13,2.79,3.19,7.85,5.9,9.09,10.26,7.55,12.2,4.05,2.6,2.12,7.14,7.32,1.59,9.23,8.81,11.67,3.77,1.32,5.16,9.37,0.8,10.73,7.48,2.56,8.53,6.95,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,6.97,3.55,7.5,7.29,5.8,3.63,4.12,1.41,5.76,6.5,4.08,7.53,7.05,8.97,7.07,4.43,8.78,10.04,3.6,3.51,9.66,11.25,5.14,8.56,6.72,5.63,7.99,4.43,3.18,1.45,3.81,11.42,4.94,3.25,3.58,0.63,8.42,4.54,7.16,2.67,5.94,3.79,5.82,3.51,4.84,4.11,5.1,4.21,5.53,4.92,5.75,9.23,4.7,10.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,46.83,51.14,58.04,47.32,43.55,66.2,45.96,43.48,56.76,53.16,49.36,53.84,60.61,51.66,63.87,49.07,59.54,53.24,57.09,49.59,63.95,50.26,59.6,48.76,55.93,69.99,57.65,51.75,54.41,61.89,67.79,50.63,61.07,67.13,53.07,38.67,50.67,62.54,54,39.19,66.87,55.68,53.11,44.04,51.21,54.22,62.63,53.83,63.14,51.33,55.71,53.94,61.64,62.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1933 Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1944 Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
