BATTERSEA-CREEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ266758,Long,-0.17836,Lat,51.4675,Elevation,41,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,1.56,1.24,1.8,1.85,1.22,3.9,1.14,0.82,0.7,1.96,2.16,0.56,1.23,2.72,1.18,0.62,1.71,0.65,2.12,2.28,,,,,,,,,
February,,2.35,1.2,3.2,1.02,2.32,0.5,0.65,0.78,2.1,1.12,0,0.59,2.32,1.55,0.1,0.24,1.99,1.08,1.83,3.2,,,,,,,,,
March,0.6,1.73,0.94,0.69,1.02,1.67,1.5,1.33,2.56,1.2,1.46,1.6,0.78,0.29,0.87,0.99,2.72,3.12,1.09,0.33,0.77,,,,,,,,,
April,1.88,0.4,2.11,1.32,1.01,1.7,1.19,1.5,2.15,1.82,1.9,0.8,0.96,0.03,1.35,1.26,0.53,1.66,0.74,2.26,0.57,,,,,,,,,
May,0.38,1,1.03,1.6,0.63,2.32,5.01,1.43,0.73,3.63,1.08,2.45,0.54,0.49,1.23,0.43,0.14,1.2,2.06,1.02,0.73,,,,,,,,,
June,2.4,1.4,2.27,1.03,2,2.7,0.7,1,2.42,1.68,2.7,1.1,2.18,0.63,2.11,0.15,1.27,1.47,0.76,0.94,1.66,,,,,,,,,
July,3.84,1.62,2.15,2.08,2.05,0.4,2.15,0.8,4.7,1.98,5.46,4.23,1.35,1.97,2.46,3.92,1.1,0.54,0.63,0.51,0.97,,,,,,,,,
August,0.3,4.4,0.92,0.55,0.7,0.65,0.6,2.06,3.35,1.9,1.23,4.12,,1.36,3.38,2.02,1.44,2.5,0.93,0.21,2.43,,,,,,,,,
September,4.44,1.86,2.08,2.9,1.36,3.7,1.9,1.56,1,1.38,0.7,1,2.23,0.88,1.09,1.18,5.31,2.43,0.18,2.39,0.49,,,,,,,,,
October,6.15,2.33,5,1.7,0.9,3.6,1.8,1.6,1.2,3.5,0.84,4.45,3.57,3.69,4.01,2.63,2.48,0.48,2.54,1.89,1.4,,,,,,,,,
November,1.73,2.06,2.08,2.38,1.25,3,3.2,3.72,3.8,0.78,1.95,1.7,2.11,1.86,2.62,2.74,0.97,0.92,1.87,3.64,1.54,,,,,,,,,
December,2.97,2.15,1.82,0.49,2.18,1.1,4.04,1.3,0.9,1.17,0.86,2.6,1.07,1.73,1.91,1.88,3.06,1.91,2.28,0.95,1.97,,,,,,,,,
Total,,22.86,22.84,19.74,15.97,24.38,26.49,18.09,24.41,21.84,21.26,26.21,,16.48,25.3,18.48,19.88,19.93,14.81,18.09,18.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge 27ft above ground so likely on roof ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact location unknown but land fairly flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892 Aug 28 Record omitted Amount computed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB Rejected from survey as 2in low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
