FRATING-RECTORY-COLCHESTER,,,,,,,,,,,,,,,,,,,,
Grid ref,TM085219,Long,1.0277,Lat,51.8576,Elevation,80,ft,,,,,,,,,,,,
Station no,RR1704,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,1.27,0.57,-999,-999,0.68,-999,2.21,0.27,1.55,,,,,,,
February,,,,,-999,1.51,-999,-999,-999,-999,1.05,1.52,0.23,,,,,,,
March,,,,,-999,0.75,-999,-999,-999,-999,1.73,1.8,,,,,,,,
April,,,,,0.45,0.18,1.3,0.81,1.65,-999,1.45,0.66,,,,,,,,
May,,,,,4.04,1.94,3.28,1.74,2.26,0.41,3.58,0.95,4.94,,,,,,,
June,,,,,1,1.46,0.82,1.82,1.23,2.9,4.55,1.73,2.51,,,,,,,
July,,,,,1.68,5.38,2.6,2.18,4.09,4.42,3.43,-999,1.54,,,,,,,
August,,,,,1.48,2.03,1.9,2.48,2.78,-999,3.9,-999,2.62,,,,,,,
September,,,,,0.87,1,3,-999,1.19,-999,1.85,1.44,2.37,,,,,,,
October,,,,,2.64,-999,1,-999,2.07,3.87,1.38,0.58,2.76,,,,,,,
November,,,,,2.11,-999,1.87,2.06,1.02,1.23,2.72,3.47,1.13,,,,,,,
December,,,,,1.6,1.02,1.2,0.24,1.55,2.69,1.85,1.03,1.63,,,,,,,
Total,,,,,18.79,21.23,20.65,25.01,20.83,29.6,29.7,16.59,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1854 Feb-Mar -999,,,,,,,,,,,,,,,,,,,,
1855 Oct-Nov -999,,,,,,,,,,,,,,,,,,,,
1856 Jan-Mar -999,,,,,,,,,,,,,,,,,,,,
"1857 Jan-Mar, Sep-Oct -999",,,,,,,,,,,,,,,,,,,,
1858 Feb-Mar -999,,,,,,,,,,,,,,,,,,,,
"1859 Jan-Apr, Aug-Sep -999",,,,,,,,,,,,,,,,,,,,
1861 Jul-Aug -999,,,,,,,,,,,,,,,,,,,,
