WARINGSTOWN NO3,,,,,,,,,,
Grid ref,IJ1035955010,Long,-6.2999377,Lat,54.431782,Elevation,190,ft,,
Station no,RR2954,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,4.15,4.4,2.8,3.2
February,,,,,,,2.5,2,2.39,4.35
March,,,,,,,2.55,1.95,3.05,1.53
April,,,,,,,0.75,4.1,2.19,2.3
May,,,,,,,1.25,2.9,2.3,2.1
June,,,,,,,2.5,0.83,0.87,0.8
July,,,,,,,2.95,6,0.65,1.6
August,,,,,,,2.9,2.59,4.4,1.85
September,,,,,,,3.4,1.4,1.55,3.5
October,,,,,,,2.25,4.1,2.03,1.25
November,,,,,,,3,1,2.55,3.4
December,,,,,,,3.55,1.7,4.5,3.33
Total,,,,,,,31.75,32.97,29.28,29.21
