WARINGSTOWN NO 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ1035955010,Long,-6.2999377,Lat,54.431782,Elevation,190,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,4.17,2.68,1.65,2.95,3.94,4.49,2.81,3.23,3.15,3.1,4.1,3.93,1.98,4.33,1.25,5.68,4.26,2.32,1.24,0.78,2.62,3.84,4.65,1.97,3.97,3.57,1.87,1.97,3.56,1.47,3.27,2.29,3.4,2.87,1.99,2.26,1.7,3.16,2.48,,,,,,,,,
February,,,1.03,0.76,1.19,2.75,2.52,2.02,2.49,4.3,2.15,2.9,3.07,0.74,2.2,1.49,3.83,2.64,1.81,1.68,2.67,3.06,2.14,3.02,3.46,4.11,2.37,0.95,0.49,2.23,1.53,0.36,1.91,2.94,2.81,0.63,1.46,2.43,2.5,3,2.78,,,,,,,,,
March,,,2.81,1.53,2.11,2.25,2.63,1.95,3.06,1.83,1.27,1.63,2.06,2.37,1.63,0.93,3.08,3.58,1.88,2.15,2.24,2.8,2.44,1.46,2.53,2,2.87,1.31,3.43,2.38,2.64,1.33,0.9,1.3,0.99,3.34,3.42,5.35,0.99,1.71,1,,,,,,,,,
April,,,3.29,1.55,2.05,0.59,0.98,4.16,2.19,2.42,1.62,2.76,3.05,0.45,1.41,0.56,1.97,3.76,1.68,1.65,4.02,1.69,3,1.64,2.3,2.13,1.31,1.98,2.03,4.11,1.43,2.74,0.98,1.15,2.04,1.7,1.28,3.24,3.28,3.77,2.53,,,,,,,,,
May,,,4.15,2.08,2.12,3.8,1.27,2.94,2.34,2.25,2.18,0.48,2.61,1.84,0.75,1.79,0.36,3.21,3.91,3.96,1.02,3.24,2.09,1.62,2.36,1.65,5.73,1.47,2.83,2.35,1.68,3.64,3.89,1.18,2.08,0.21,0.3,2.47,3.63,5.03,2.71,,,,,,,,,
June,,,2.57,2.36,2.64,0.54,2.56,0.87,0.89,1.13,0.95,2.52,3.08,1.58,1.4,3.51,2.47,2.58,3.96,4.54,3.31,4.11,3.6,1.33,0.84,0.77,1.42,0.76,4.15,0.37,3.21,2.68,3.3,1.8,3.64,1.76,2.54,5.11,3.83,2.69,2.96,,,,,,,,,
July,,,3.43,0.52,1.15,1.28,2.98,6.04,0.68,1.56,1.87,5.07,3.11,5.32,2.46,4.29,1.91,4.92,0.51,6.3,4.72,2.66,4.4,2.99,3.19,1.85,3.46,2.85,5.21,3.82,2.77,3.1,3.38,2.91,2.98,4.48,8.1,1.37,0.6,2.82,3.09,,,,,,,,,
August,,,1.4,3.66,2.28,3.16,2.89,2.72,4.45,1.88,1.65,2.47,4.3,5.11,4.72,2.63,3.17,3.29,3.52,3.59,1.19,4.77,3.51,3.03,1.86,1.46,2.44,2.41,3.16,7.29,2.53,6.04,5.68,4.55,1.82,4.56,2.57,4.79,4.39,1.6,5.28,,,,,,,,,
September,,,1.95,3,2.21,0.38,3.48,1.45,1.68,3.51,2.74,3.36,4.88,2.72,2.92,3.73,3.29,2.16,3.24,4.48,3.46,2.33,4.98,4.1,2.73,4.73,3.26,2.72,1.17,2.17,3.23,2.18,3.12,1.87,0.2,0.3,4.98,2.21,5.79,3.09,2.19,,,,,,,,,
October,,,3.65,5.74,1.98,4.91,2.06,4.15,2.13,1.46,6.81,2.28,4.51,2.49,3.66,3.93,4.65,3,3.47,1.32,0.73,3.72,2.42,3.25,2.55,3.22,4.61,1.97,1.15,3.52,1.8,4.09,3.44,2.36,5.51,3.95,2.76,2.63,2.79,2.71,4.22,,,,,,,,,
November,,3.2,2.71,2.55,3.93,3.65,2.85,1.09,2.57,3.41,1.76,1.74,4.22,2,3.29,3.55,3.43,4,1.84,1.29,3.16,3.98,5.11,3.4,2.16,1.64,3.18,2.25,3.99,2.18,8.11,2.55,4.07,1.9,2.04,3.29,1.02,3.47,2.98,3,5.13,,,,,,,,,
December,,2.2,3.29,1.96,2.13,2.36,3.36,1.98,4.55,3.37,2.42,1.97,5.75,0.78,3.24,1.61,7.03,3.25,1.89,1.64,4.05,3.16,3.24,1.71,3.31,1.24,5.61,1.98,3.03,3.11,2.68,4.34,2.15,3,2.66,3.31,4.82,4.57,2.69,4.94,2.99,,,,,,,,,
Total,,,34.45,28.39,25.44,28.62,31.52,33.86,29.84,30.35,28.57,30.28,44.74,29.33,29.66,32.35,36.44,42.07,31.97,34.92,31.81,36.3,39.55,31.39,31.94,26.77,40.23,24.22,32.51,35.5,35.17,34.52,36.09,27.25,30.17,30.4,35.24,39.9,35.17,37.52,37.36,,,,,,,,,
