"ST BRELADE (LA SERGENTÉ)",,,,,,,,,,,,
Grid ref,WV567486,Long,-2.221924,Lat,49.186606,,,,,,,
Station no,4427,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.69,4.39,0.75,2.58,3.59,5.50,1.70,5.57,4.65,2.64,,
February,3.57,1.31,1.42,2.18,3.60,0.62,6.53,3.46,0.09,3.57,,
March,3.28,3.85,0.22,2.63,1.77,0.74,1.77,3.27,2.09,2.24,,
April,1.92,1.67,3.21,0.73,0.37,0.79,1.26,0.76,2.90,1.20,,
May,3.91,1.10,1.51,1.22,2.26,1.17,0.94,2.25,1.54,2.91,,
June,1.26,0.14,0.91,1.85,2.62,1.40,1.00,3.43,0.34,1.37,,
July,1.30,1.11,2.25,2.18,1.19,1.65,1.60,0.81,0.64,3.53,,
August,5.87,3.54,0.98,2.63,0.99,4.38,1.59,2.62,1.68,4.29,,
September,5.09,6.52,2.50,3.84,2.81,2.22,3.43,2.39,0.62,2.02,,
October,0.60,4.70,1.92,2.53,2.82,2.02,1.35,3.18,3.08,5.19,,
November,6.46,5.13,1.84,4.21,1.18,1.57,2.64,2.58,4.66,5.14,,
December,3.89,5.51,1.05,3.15,4.31,3.82,3.17,3.65,6.28,5.90,,
Total,39.84,38.97,18.56,29.73,27.51,25.88,26.98,33.97,28.57,40.00,,
Calc annual,39.84,38.97,18.56,29.73,27.51,25.88,26.98,33.97,28.57,40.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
