NEWCASTLE (WHICKHAM VIEW SCHOOL),,,,,,,,,,
Grid ref,NZ200647,Long,-1.6890694,Lat,54.976513,Elevation,210,ft,,
Station no,3560/7,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,2.56,2.52,0.69,4.6,,,,,
February,,1.7,0.99,1.97,1.18,,,,,
March,,0.71,0.61,0.66,,,,,,
April,,,1.03,2.26,,,,,,
May,1.9,,,1.79,3.23,,,,,
June,4.84,,,2.18,,,,,,
July,,,2.67,2.47,2.07,,,,,
August,,1.97,3.9,1.76,2.2,,,,,
September,0.44,2.52,2.52,6.34,,,,,,
October,3.93,2.46,1.92,2.64,3.15,,,,,
November,3.55,,2.15,4.64,1.06,,,,,
December,0.43,1.84,1.24,1.67,,,,,,
Total,,,,29.07,,,,,,
,,,,,,,,,,
"1942 April, May, June Nov estimated",,,,,,,,,,
"1943 May, June estimated",,,,,,,,,,
"1945 March, April, June, Sept, Dec estimated",,,,,,,,,,
