HEREFORD BARTON HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO503397,Long,-2.7248626,Lat,52.053642,Elevation,184,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,2.15,2.7,3.58,2.56,3.65,1.14,3.26,2.02,3.8,2.76,3.53,1.01,5.71,1.46,,,,,,,,,
February,,,,,,,,,0.82,3,0.96,0.26,2.91,6.78,0.33,4.2,1.58,2.4,1.81,0.68,0.7,1.79,,,,,,,,,
March,,,,,,,,,1.31,4.16,3.66,1.73,2.4,1.3,1.14,0.58,0.35,2.87,2.69,0.18,2.65,0.43,,,,,,,,,
April,,,,,,,,,2.01,1.42,4.3,0.79,1.98,2.27,1.92,1.42,2.48,1.08,1.3,0.69,3.44,3.32,,,,,,,,,
May,,,,,,,,,1.92,0.37,2.15,1.11,0.61,1.35,4.8,3.11,2.17,1.02,0.93,2.08,2.32,3.69,,,,,,,,,
June,,,,,,,,,0.62,0.81,2.73,0.23,0.69,0.44,2.27,0,1.32,3.39,2.86,2.04,0.3,3.63,,,,,,,,,
July,,,,,,,,,2.06,1.82,4.53,0.81,3.47,2.61,4.28,1.89,1.9,3.86,1.72,1.78,2.28,3.64,,,,,,,,,
August,,,,,,,,,1.79,2.58,0.79,2.71,2.09,1.38,2.35,3.26,1.94,4.35,1.91,1.23,2.95,5.1,,,,,,,,,
September,,,,,,,,,7.41,1.43,1.9,1.14,1.55,1.79,4.84,3.41,0.9,4.4,0.96,1.31,4.26,1.76,,,,,,,,,
October,,,,,,,,,1.01,1.86,3.56,1.43,0.28,4.58,3.43,2.75,2.7,2.41,4.62,4.03,3.05,0.69,,,,,,,,,
November,,,,,,,,,1.88,1.12,1.05,2.01,1.16,1.64,2.5,1.47,6.31,2.67,2.7,8.06,2.95,5.05,,,,,,,,,
December,,,,,,,,,2.1,3.14,2.73,1.33,3.98,1.65,3.49,2.71,0.52,2.65,2.23,6.53,3.57,1.05,,,,,,,,,
Total,,,,,,,,,25.08,24.41,31.94,16.11,24.77,26.93,34.61,26.82,25.97,33.86,27.26,29.62,34.18,31.61,,,,,,,,,
