ALSTON (GRAMMAR SCHOOL) THE GROVE,,,,,,,,,,,,
Grid ref,NY722460,Long,-2.434040,Lat,54.808088,,,,,,,
Station no,3658/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,100.00,5.95,1.86,5.78,5.15,3.15,5.61,3.71,,,,
February,100.00,2.15,2.65,3.26,3.99,3.09,3.13,6.01,,,,
March,100.00,1.90,0.92,2.77,1.87,2.95,3.28,1.90,,,,
April,100.00,3.36,4.59,1.12,2.19,1.75,0.76,1.80,,,,
May,100.00,1.83,2.55,5.68,4.50,2.36,1.94,4.11,,,,
June,100.00,2.82,2.80,3.72,3.24,2.60,2.28,2.03,,,,
July,100.00,3.50,4.95,4.80,1.97,4.30,5.55,4.04,,,,
August,3.37,5.32,5.94,8.10,1.69,8.83,7.17,3.81,,,,
September,3.65,5.71,6.99,6.77,3.37,3.51,4.09,4.32,,,,
October,0.99,5.26,2.35,12.95,3.40,3.47,5.02,4.35,,,,
November,10.90,3.79,6.16,8.56,1.89,2.43,1.92,1.01,,,,
December,9.20,5.73,3.24,10.13,7.31,6.99,6.52,3.00,,,,
Total,,47.32,45.00,73.64,40.57,45.43,47.27,40.09,,,,
Calc annual,728.11,47.32,45.00,73.64,40.57,45.43,47.27,40.09,0.00,0.00,,
Difference,NaN,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,,
