"HEXHAM (WIDEHAUGH NURSERY)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3564/7,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,,,1.82,4.05,1.60,,
February,,,,,,,,0.88,0.97,1.85,,
March,,,,,,,,0.60,3.27,2.44,,
April,,,,,,,2.01,0.09,0.83,1.46,,
May,,,,,,,2.43,2.11,1.19,0.90,,
June,,,,,,,0.61,3.67,1.79,0.40,,
July,,,,,,,2.34,1.86,3.49,8.20,,
August,,,,,,,2.12,1.78,3.19,0.93,,
September,,,,,,,0.95,1.55,0.88,1.85,,
October,,,,,,,2.09,4.29,4.78,2.85,,
November,,,,,,,0.61,2.96,3.30,2.53,,
December,,,,,,,3.76,2.84,1.23,1.80,,
Total,,,,,,,,24.45,28.97,26.81,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,16.92,24.45,28.97,26.81,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
