HEXHAM (WIDEHAUGH NURSERY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY964641,Long,-2.057768,Lat,54.971504,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3564/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,1.82,4.05,1.6,2.63,2.45,2.29,1,4.09,1.21,1.44,5.65,1.4,2.27,1.61,,0.36,2.48,,2.24,1.09,1.57,1.33,3.97
February,,,,,,,,0.88,0.97,1.85,4.2,1.31,1.8,1.68,1.34,1.05,4,1.31,1.5,4.42,1.59,,0.98,1.29,,2.64,1.65,3.2,0.46,1.71
March,,,,,,,,0.6,3.27,2.44,2.78,1.4,0.77,0.37,0.47,2,4.35,1.15,0.43,0.8,2.82,0.68,0.18,0.94,1.32,0.68,1.17,1.69,0.54,2.13
April,,,,,,,2.01,0.09,0.83,1.46,1.41,0.63,1.11,1.49,1.59,0.88,3.62,1.82,1.2,2.01,2.44,1.41,2.05,0.73,,0.88,0.71,1.3,1.61,0.7
May,,,,,,,2.43,2.11,1.19,0.9,1.81,0.9,2.76,1.39,2.99,2.03,1.67,0.67,0.43,1.78,2.05,0.76,1.32,3.74,1.93,0.29,1.26,3.22,0.17,1.77
June,,,,,,,0.61,3.67,1.79,0.4,0.28,1.16,1.74,2.43,2.17,1.96,2.91,3.39,0.81,1.66,1.05,2.12,1.35,2.07,2.26,2.45,0.92,2.72,3.02,0.35
July,,,,,,,2.34,1.86,3.49,8.2,1.66,2.07,1.64,2.98,1.51,4.05,4.58,2.2,1.82,2.83,1.37,1.86,1.93,2.02,1.52,2.3,3.25,3.9,1.42,4.81
August,,,,,,,2.12,1.78,3.19,0.93,3.51,2.18,4.02,1.4,1.64,3.37,0.19,4.7,2.19,4.25,4.32,1.51,3.48,3.79,0.98,6.62,3.3,3,0.18,2.63
September,,,,,,,0.95,1.55,0.88,1.85,0.35,2.16,2.37,5.65,1.4,3.02,0.79,2.21,2.21,2.48,0.79,2.41,2.5,3.5,1.08,1.69,2.7,2.3,0.73,1.29
October,,,,,,,2.09,4.29,4.78,2.85,3.71,2.4,2.89,2.29,2.87,0.84,0.61,1.52,3.33,1.49,0.71,1.81,1.03,4.98,1.15,2.05,1.88,1.56,1.88,5.37
November,,,,,,,0.61,2.96,3.3,2.53,2.5,0.41,1.69,6.02,0.42,3.2,2.58,1.38,,3.87,5.82,2.01,1.48,3.07,0.72,0.39,0.99,0.57,4.14,2.46
December,,,,,,,3.76,2.84,1.23,1.8,0.6,1.82,1.03,1.47,0.87,1.82,1.83,2.2,,1.03,1.45,2.5,0.87,3.83,2.58,1.33,1.43,2.93,3.09,1.93
Total,,,,,,,,24.45,28.97,26.81,25.44,18.89,24.11,28.17,21.36,25.43,28.57,28.2,,28.89,26.02,,17.53,32.44,,23.56,20.35,27.96,18.57,29.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 record notes Jan/Apr adjusted for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 record notes Feb adjusted for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Jan/Feb estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1955 Jan/Feb/Apr estimated - ""-too much estimation"" on record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
