"HEXHAM (WIDEHAUGH NURSERY)",,,,,,,,,,,,
Grid ref,NY964641,Long,-2.057768,Lat,54.971504,,,,,,,
Station no,3564/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.61,2.50,0.36,2.48,2.30,2.24,1.09,1.57,1.33,3.97,,
February,1.59,0.50,0.98,1.29,2.13,2.64,1.65,3.20,0.46,1.71,,
March,2.82,0.68,0.18,0.94,1.32,0.68,1.17,1.69,0.54,2.13,,
April,2.44,1.41,2.05,0.73,0.62,0.88,0.71,1.30,1.61,0.70,,
May,2.05,0.76,1.32,3.74,1.93,0.29,1.26,3.22,0.17,1.77,,
June,1.05,2.12,1.35,2.07,2.26,2.45,0.92,2.72,3.02,0.35,,
July,1.37,1.86,1.93,2.02,1.52,2.30,3.25,3.90,1.42,4.81,,
August,4.32,1.51,3.48,3.79,0.98,6.62,3.30,3.00,0.18,2.63,,
September,0.79,2.41,2.50,3.50,1.08,1.69,2.70,2.30,0.73,1.29,,
October,0.71,1.81,1.03,4.98,1.15,2.05,1.88,1.56,1.88,5.37,,
November,5.82,2.01,1.48,3.07,0.72,0.39,0.99,0.57,4.14,2.46,,
December,1.45,2.50,0.87,3.83,2.58,1.33,1.43,2.93,3.09,1.93,,
Total,26.02,20.07,17.83,32.44,18.59,23.56,20.35,27.96,18.57,29.12,,
Calc annual,26.02,20.07,17.53,32.44,18.59,23.56,20.35,27.96,18.57,29.12,,
Difference,0.00,0.00,0.30,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
