ARDGOUR HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM994639,Long,-5.280133,Lat,56.723523,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,6.7,11,6.1,11,1.1,6.5,3.3,,4.75,9,4.25,7.25,10.25,6,6,10.75,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,4.5,2.6,10,14,1.6,7.8,8.3,,4.5,2,2.25,1,10.25,5,6.75,4.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,3.2,2.9,6.5,8.4,3.8,4.3,11.8,,5.13,0.5,3.75,6.5,8.75,2.5,4.75,5.25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.3,2.2,2.9,1.9,3.3,3.5,2.8,,3.75,5.25,3,1.5,3,8,3,2.75,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1,6.1,2.3,4,0.7,3,4.6,,1.12,4.75,0.5,4,2.5,4.75,4.5,2.5,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,1.9,3.9,1,3.2,1.3,3.9,5.3,,1.25,3.5,5.5,1,2,3.75,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,4.35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,2.8,6.1,6.4,5.5,2.4,6,3.4,,4,2,3.5,2.75,6.75,3.25,5,6.5,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,4.4,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,7.9,10.4,8.9,8.2,3.8,7.2,4.3,,2,6.25,6.5,4,10.25,6.75,6,4.25,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,3.65,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,12.2,13.8,9.5,0.8,2.9,5,5,,9.75,9.5,6.25,5.25,3.25,6.25,7,5.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,16.4,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,7.6,5.2,14.6,3.1,3.7,4.3,3.4,,4.25,10,9.5,6.5,12,5.75,4.5,7,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
