FINSBURY-PARK-ENDYMION-TERRACE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ314878,Long,-0.10528563,Lat,51.573762,Elevation,125,ft.,,,,,,,,,,,,
Station no,RR8094,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,2.37,1.48,4.61,1.36,1.02,0.91,2.48,2.13,0.67,1.45,,,,,,
February,,,,,1.61,2.84,0.57,0.47,0.87,2.23,0.88,0.03,1.4,2.99,,,,,,
March,,,,,1.45,1.63,1.62,1.46,3.79,1.53,2.14,2.46,1.01,0.35,,,,,,
April,,,,,1.08,2.39,1.27,1.69,2.27,1.85,1.78,1.01,0.97,0.17,,,,,,
May,,,,,0.72,2.59,4.72,1.67,1.08,2.12,1.5,3.23,1.41,0.72,,,,,,
June,,,,,2.67,1.77,0.43,,2.59,1.63,2.7,1,2.5,0.63,,,,,,
July,,,,,2.52,0.92,2.49,,5.09,2.47,5.1,3.28,1.62,2.2,,,,,,
August,,,,,0.77,1.68,0.87,1.73,3.72,1.95,3.08,5.34,3.33,1.16,,,,,,
September,,,,,1.72,4.17,1.56,2.04,0.87,2.14,0.43,1.12,2.5,,,,,,,
October,,,,,0.95,4.14,2.8,1.32,1.24,3.93,1.41,4.92,3.9,,,,,,,
November,,,,,2,3.37,2.87,3.27,4.74,0.98,1.65,1.96,2.59,,,,,,,
December,,,,,3.14,1.13,4.18,1.41,1.17,1.49,0.91,3.48,1.5,,,,,,,
Total,,,,,21,28.11,27.99,,28.45,23.23,24.06,29.96,23.4,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is on Endymion Road, assumed to be Terrace, at the stated altitude.",,,,,,,,,,,,,,,,,,,,
"Cannot find observer, Rev E Healy, and there no other informatipn on the record to check location",,,,,,,,,,,,,,,,,,,,
