STAMFORD - Western Edge of the town,,,,,,,,
Grid ref,TF023071,Long,-0.489,Lat,52.652,Elevation,150,ft
Station no,2526/8,,,,,,,
,,,,,,,,
,1919,,,,,,,
January,,,,,,,,
February,,,,,,,,
March,,,,,,,,
April,,,,,,,,
May,,,,,,,,
June,,,,,,,,
July,3.27,,,,,,,
August,2.32,,,,,,,
September,1.30,,,,,,,
October,1.42,,,,,,,
November,2.19,,,,,,,
December,3.64,,,,,,,
Total,,,,,,,,
,,,,,,,,
TYRain_1910-1919_16_pt1/014,,,,,,,,
,,,,,,,,
"# The gauge moved 850 yards west from St Georges Square in July 1919. No detailed location given, but this would be somewhere on the western edge of Stamford.",,,,,,,,
# An indicative grid reference is given above.,,,,,,,,
