CHERTSEY-LONG-CROSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU984650,Long,-0.58763786,Lat,51.375538,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,0.41,1.31,1.43,2.08,2.44,2.08,3.64,1.68,1.22,1.1,2.33,1.86,,,,,,,,,2.57,0.9,0.77,2.43,2.51,0.82,3.18,0.6,1.47,0.84,1.73,1.17,3.65,2.71,0.8,3.74,0.95,0.9,2.95,2.89,,,,1.5,2.53,2.09,3.19,1.83,3.68,1.41,3.5,1.4,1.92,1.75,1.78,0.84,4.69,4.6,2.64,5.14,2.9,3.04,3.11,4.75,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2.68,2.38,1.63,4.14,1.8,2.4,0.5,0.72,1.09,2.2,1.17,0.15,,,,,,,,,4.14,0.74,0.86,1.03,2.92,0.62,1.64,1.38,1.08,0.31,2.94,1.33,1.8,0.84,2.92,3.46,3.61,0.76,0.85,2.62,,,,3.8,0.43,3.5,1.78,3.99,1.84,0.58,0.73,1.59,0.24,3.16,0.16,2.82,1.76,4.55,0.56,1.37,2.16,2.78,0.89,1.3,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.43,2.04,0.98,1.01,1.36,1.58,1.57,1.84,3.24,1.51,1.53,1.81,,,,,,,,,0.93,1.94,1.58,2.35,1.12,3.47,1.1,0.96,2.63,2.91,1.1,1.48,2.9,2.27,4.09,0.87,3.7,0.93,1.05,3.67,,,,2.78,1.05,0.74,0.66,2.82,1.82,0.05,1.38,0.25,1.36,2.84,2.34,0.34,1.91,3.51,0.32,1.24,3.38,3.94,1.94,0.52,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.66,0.45,3.18,1.26,1.31,1.16,2.25,1.43,1.82,2.32,1.78,1.05,,,,,,,,,0.56,1.75,0.75,2.18,1.08,1.33,0.42,3.1,3.04,1.75,1.15,1.65,0.03,2.38,0.79,0.92,0.43,2.78,3.68,2.25,,,,2.16,3.33,1.97,3.01,1.89,1.5,1.01,1.83,3.77,2.43,0.8,2.08,3.55,1.88,2.7,0.17,2.79,2.55,1.33,1.34,1.05,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,0.3,1.65,1.48,1.88,0.51,2.88,3.84,1.6,1.27,2.72,1.45,2.61,,,,,,,,,1.63,0.58,1.92,2.38,2.54,0.38,1.72,1.25,1.61,1.83,1.73,1.52,1.3,1.39,0.81,3.33,1.43,1.91,2.7,0,,,,2.87,3.97,2.52,1.58,1.23,1.72,1.77,2.47,2.88,4.06,2.71,0.58,1.79,0.74,2.49,1.83,1.32,1.31,1.91,2.94,2.42,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.71,1.89,2.68,2.24,1.66,1.66,0.88,1.2,2.94,1.05,2.88,1.65,,,,,,,,,2.15,0.52,3.81,6.82,0.67,4.37,2.04,2.16,1.36,3.41,1.96,1.88,3.54,0.55,1.16,1.23,1.11,2.16,0.62,1.15,,,,0.38,3.95,0,3.6,3.35,2.32,1.31,1.85,1.54,1,1.45,1.11,2.86,3.05,2.08,0.75,1.66,0.69,2.06,0.45,1.82,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,5.48,2.03,2,2.09,1.78,0.23,1.97,0.72,5.33,1.34,4.2,2.95,,,,,,,,,0.48,2.65,1.2,4.28,2.06,0.3,0.17,1.19,1.75,2.39,2.12,1.08,1.19,1.08,2.11,4.33,0.99,3.98,2.78,4.53,,,,1.87,3.92,3.65,1.69,2.47,2.19,1.38,2.06,3.47,2.62,1.55,2.44,1.43,4.05,1.28,1.17,2.46,2.61,5.31,1.19,2.25,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,0.98,6.32,1.34,0.37,0.99,0.54,0.76,1.81,2.25,2.19,2.06,3.9,,,,,,,,,1.85,1.56,3.6,3.32,1.57,2.82,0.46,2.31,2.04,1.64,2.88,0.47,4.74,1.06,1.35,1.95,4.08,4.72,0.98,2.31,,,,2.06,2.96,3.48,1.79,3.41,2.07,1.85,2.82,5.37,0.86,0.65,2.2,2.92,0.92,1.13,1.94,2.15,0.2,5.64,3.07,1.42,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,4.8,2.35,1.75,2.85,1.84,5.09,2.03,1.78,1.34,1.37,1.14,1.28,,,,,,,,,0.63,1.18,1.01,2.63,1.1,1.83,1.63,0.66,1.77,3.33,0.55,1.12,2.72,1.88,0.51,2.17,1.34,1.75,4.7,1.4,,,,1.68,3.63,2.99,0.95,4.91,1.09,0.15,3.06,1.95,2.31,2.58,1.48,3.58,2.3,1.9,1.51,0.89,1.46,0.12,1.33,1.86,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,5.26,2.19,5.55,2.06,1.04,3.56,3.88,1.48,1.62,3.18,1.07,6.03,,,,,,,,,1.64,1.76,1.56,5.71,1.9,1.1,4.13,4.29,2.5,3.39,3.44,3.26,2.86,3.73,1.5,2.79,3.59,3.13,1.45,0.51,,,,5.68,3.81,3.09,2.52,1.34,4.51,3.25,1.05,0.64,4.66,1.99,1.75,3.18,2.12,2.87,2.59,5.03,3.16,1.46,3.27,2.93,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
