HORBURY (CARR LODGE),,,,,,,,,,,,
Grid ref,SE297185,Long,-1.552027,Lat,53.662148,,,,,,,
Station no,3229,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.87,2.09,0.40,2.06,1.05,3.38,0.80,2.66,2.56,5.08,,
February,3.03,0.49,1.49,2.08,2.07,1.03,2.59,4.12,0.14,1.73,,
March,2.53,1.69,0.89,1.73,2.23,0.67,1.23,1.96,0.85,1.69,,
April,0.91,1.49,2.12,0.27,0.23,1.92,0.12,0.53,3.92,0.78,,
May,4.01,1.74,1.86,2.77,2.08,0.55,1.10,2.94,0.63,0.92,,
June,0.74,1.96,2.06,1.03,1.68,2.00,1.36,4.20,1.53,0.90,,
July,2.03,1.37,2.53,1.46,0.56,4.36,2.97,4.67,1.23,2.41,,
August,4.04,1.38,2.58,5.39,0.21,5.83,4.89,2.53,0.50,4.67,,
September,2.50,1.04,1.22,1.97,1.25,3.01,3.07,2.80,0.12,3.35,,
October,0.81,3.72,1.34,3.41,1.54,1.04,0.92,1.59,1.76,6.64,,
November,6.11,1.30,2.04,4.15,1.55,0.54,1.82,0.70,3.60,5.20,,
December,2.50,1.81,0.94,2.56,2.66,2.85,1.58,3.72,3.60,2.58,,
Total,31.08,20.08,19.47,28.88,17.11,27.18,22.45,32.42,20.44,35.95,,
Calc annual,31.08,20.08,19.47,28.88,17.11,27.18,22.45,32.42,20.44,35.95,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
