"SHOULDHAM VICARAGE",,,,,,,,,,,,
Grid ref,TF681088,Long,0.483528,Lat,52.650880,,,,,,,
Station no,1468/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.97,1.59,1.93,3.44,1.67,,,,,
February,,,1.43,2.23,2.87,1.54,2.88,,,,,
March,,,1.06,2.58,1.60,0.71,1.84,,,,,
April,,,2.07,0.24,0.69,0.96,0.26,,,,,
May,,,1.38,2.80,3.26,0.87,1.16,,,,,
June,,,3.88,1.97,2.58,2.08,1.95,,,,,
July,,,2.98,3.04,0.19,2.78,2.71,,,,,
August,,,2.33,5.74,0.70,4.10,1.66,,,,,
September,,,1.10,2.09,1.36,1.27,4.05,,,,,
October,,,2.38,2.17,2.58,1.61,1.53,,,,,
November,,,1.49,4.12,1.06,1.20,1.34,,,,,
December,,,0.77,2.22,1.53,1.69,1.90,,,,,
Total,,,21.84,30.79,20.35,22.25,22.95,,,,,
Calc annual,0.00,0.00,21.84,30.79,20.35,22.25,22.95,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
