CARDIFF-CEMETERY,,,,,,,,,,,,,,,,,,,,
Grid ref,ST179785,Long,-3.184142,Lat,51.499453,Elevation,95,ft,,,,,,,,,,,,
Station no,RR7457,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,6.46,5.96,6.76,1.61,5.82,2.16,3.24,0.86,0.58,3.21,8.27,5.8,3.7,5.14,,,
February,,,,1.89,2.97,3.13,6.74,3.43,3.74,6.67,4.19,5.35,3.28,3.96,3.9,3.92,1.65,,,
March,,,,5.19,3.05,1.88,5.29,3.27,2.19,1.08,2.13,3.49,2.88,0.72,4.01,2.6,5.31,,,
April,,,,0.4,2.1,3.22,3.21,2.81,4.58,2.69,1.46,1.56,6.12,0.4,1.48,2.88,2.64,,,
May,,,,2.98,0.59,3.37,0.31,2.96,5.4,3.32,1.5,2.83,2.4,2.06,3.41,3.5,6.5,,,
June,,,,2.42,1.89,6.44,2.09,1.74,3.8,6.66,3.01,3.68,4.17,3.02,2.03,3.25,0.7,,,
July,,,,4.66,2.31,7.51,1.29,4.73,1.62,4.98,6.64,2.46,5.7,3.05,4.61,1.52,3.92,,,
August,,,,4.28,5.56,3.79,6.97,6.22,11.64,7.42,0.67,6.99,9.29,2.53,4.58,2.59,0.73,,,
September,,,,3.25,6.59,4.42,7.88,2.68,3.08,5.34,3.88,2.12,3.82,3.96,2.66,7.58,3.51,,,
October,,,,5.54,5.58,9.1,4.21,4.98,5.65,1.7,4.74,3.6,7.96,3.78,1.74,6.7,4.87,,,
November,,,,2.6,3.33,9.21,5.93,7.1,3.35,0.52,3.86,5.84,5.82,2.19,2.83,5.8,4.76,,,
December,,,,1.63,5.36,2.21,8.71,3.59,2.9,2.72,6.56,4.34,6.36,2.3,8.01,2.15,6.2,,,
Total,,,,41.3,45.29,61.04,54.24,49.33,50.11,46.34,39.5,42.84,61.01,36.24,45.06,46.19,45.93,,,
