STRATHAVEN(DUNSIDE RES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS748372,Long,-3.989237,Lat,55.612238,Elevation,1002,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5193/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,4.53,10.03,6.74,8.58,2.9,4.53,7.28,8.19,4.41,2.46,0.83,4.74,4.36,6.91,2.58,5.92,4,7.27,7.64,4.36,6.72,7.17,2.89,6.1,2.51,3.07,5.87,4.8,1.66,5.12
February,4.74,0.06,5.04,0.9,9.28,2.37,4.01,2.82,6.28,1.58,3.47,1.07,6.42,1.89,8.59,4.56,0.59,6.03,7.63,5.56,3.77,1.59,2.17,3.21,1.47,1.77,2.49,3.35,2.68,4
March,0.89,2.85,4.92,3.09,2.91,2.66,1,4.68,4.44,4.66,2.36,1.68,3.41,0.76,4.12,3.58,3.76,6.16,2.85,4.62,3.59,2.25,1.13,3.55,1.76,3.19,4.17,1.37,2.77,2.19
April,2.58,4.94,3.18,4.66,4.71,1.11,3.07,1.02,3.36,3.01,2.04,2.71,4.33,3.47,2.48,2.5,8.7,6.22,5.62,6.06,4.96,3.52,2.64,2.07,2.54,1.41,2.6,1.89,3.77,3.93
May,4.24,3.28,3.38,4.71,0.78,1.72,1.79,4.78,0.86,1.3,4.37,2.56,4.22,3.53,6.24,0.92,4.04,1.25,2.25,2.3,1.97,2.47,2.9,3.67,3.81,2.73,2.64,3.14,1.29,1.86
June,7.75,2.26,2.84,3.07,5.14,2.67,4.11,6.52,2.65,1.05,0.89,1.57,6.4,4.8,4.97,4.4,3.92,5.64,1.2,3.28,3.35,3.66,1.42,4.22,2.3,3.46,2.51,2.64,4.08,1.99
July,4.98,3.88,5.73,3.91,2.74,6.98,5.27,7.19,5.65,5.33,3.76,4.49,3,4.26,3.29,5.34,3.73,3.67,1.88,5.26,4.29,3.83,5.69,4.74,2.02,6.01,3.69,5.14,6.21,3.34
August,2.55,1.95,4.9,5.33,2.29,3.42,5.4,4.26,2.61,3.11,7.89,5.03,5.56,4.18,2.01,3.55,0.06,7.15,4.65,6.57,7.55,4.05,3.27,5.26,1.76,7.66,5.51,7.61,1.45,3.88
September,1.45,8.53,1.5,5.8,8.27,3.61,3.65,4.89,3.33,5.82,1.52,5.63,3.22,5.62,8.69,9.24,6.49,7.09,2.05,12.56,4.33,3.17,5.32,8,4.94,4.68,3.58,5.17,1.22,2.83
October,6.25,8.9,4.13,9.9,10.82,7.86,4.96,12.24,2.2,5.63,4.87,8.16,8.37,5.55,5.29,0.77,2.22,6.66,6.01,5.95,1.33,4.34,3.87,10.15,3.7,5.83,6.05,4.08,7.99,2.39
November,8.08,6.5,1.69,1.91,7.45,4.92,1.12,8.91,10.64,6.45,3.58,1.35,3.09,7.86,1.05,6.97,9.83,5.37,6.79,5.48,7.56,3.06,8.71,8.19,1.77,1.95,2.12,1.42,6.47,7.78
December,7.17,11.06,1.25,6.49,2.22,6.65,2.2,3.39,2.35,7.2,3.32,6.2,3.56,5.22,3.73,4.49,3.88,7.52,12.16,2.01,10.29,4.34,5.07,8.59,9.56,7.87,6.15,5.87,5.82,8.32
Total,55.21,64.24,45.3,58.35,59.51,48.5,43.86,68.89,48.78,47.6,38.9,45.19,55.94,54.05,53.04,52.24,51.22,70.03,60.73,64.01,59.71,43.45,45.08,67.75,38.14,49.63,47.38,46.48,45.41,47.63
