"STRATHAVEN(DUNSIDE RES)",,,,,,,,,,,,
Grid ref,NS748372,Long,-3.989237,Lat,55.612238,,,,,,,
Station no,5193,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.72,7.17,2.89,6.10,2.51,3.07,5.87,4.80,1.66,5.12,,
February,3.77,1.59,2.17,3.21,1.47,1.77,2.49,3.35,2.68,4.00,,
March,3.59,2.25,1.13,3.55,1.76,3.19,4.17,1.37,2.77,2.19,,
April,4.96,3.52,2.64,2.07,2.54,1.41,2.60,1.89,3.77,3.93,,
May,1.97,2.47,2.90,3.67,3.81,2.73,2.64,3.14,1.29,1.86,,
June,3.35,3.66,1.42,4.22,2.30,3.46,2.51,2.64,4.08,1.99,,
July,4.29,3.83,5.69,4.74,2.02,6.01,3.69,5.14,6.21,3.34,,
August,7.55,4.05,3.27,5.26,1.76,7.66,5.51,7.61,1.45,3.88,,
September,4.33,3.17,5.32,8.00,4.94,4.68,3.58,5.17,1.22,2.83,,
October,1.33,4.34,3.87,10.15,3.70,5.83,6.05,4.08,7.99,2.39,,
November,7.56,3.06,8.71,8.19,1.77,1.95,2.12,1.42,6.47,7.78,,
December,10.29,4.34,5.07,8.59,9.56,7.87,6.15,5.87,5.82,8.32,,
Total,59.71,43.45,45.08,67.75,38.14,49.63,47.38,46.48,45.41,47.63,,
Calc annual,59.71,43.45,45.08,67.75,38.14,49.63,47.38,46.48,45.41,47.63,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
