ALVECHURCH BORDESLEY HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP040708,Long,-1.94193,Lat,52.33583,Elevation,480,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.13,4.41,4.16,0.93,3.18,0.85,2.15,2.07,3.71,2.71,2.58,3.55,1.85,2.83,1.77,3.49,3.18,4.75,1.24,4.21,1.89,1.52,,,,,,,,
February,,1.49,1.66,1.03,1.71,4.07,4.76,0.99,1.26,2.76,0.99,0.13,2.35,5.38,1.09,2.54,2.27,2.64,1.83,0.79,0.58,2.65,0.14,,,,,,,,
March,,2.38,4.34,4.35,3.05,0.83,3.33,2.46,1.55,4.02,2.79,1.01,2.11,2.66,1.22,0.83,0.72,2.37,2.52,0.17,2.64,0.14,1.44,,,,,,,,
April,,1.12,0.18,3.75,1.11,0.99,1.3,1.49,2.97,1.96,4.61,1.23,2.92,3.17,3.67,2.46,2.65,1.98,2.09,0.83,3.28,3.7,3.25,,,,,,,,
May,,1.12,3.09,2.4,1.77,2.45,3.04,4.3,2.92,1.15,2.83,1.85,1.28,1.83,5.7,3.07,5.48,2.42,0.51,2.03,2.62,4.13,6.61,,,,,,,,
June,,1.81,5.81,1.21,2.84,1.46,1.96,3.63,1.21,1.5,1.95,0.52,0.92,0.45,2.47,0.25,1.89,4.07,3.06,1.88,1.35,3.49,1.17,,,,,,,,
July,,0.58,3.17,1.49,3.77,7.03,3.42,1.42,2.67,3.21,5.83,0.77,5.57,2.71,3.44,3.71,1.96,3.67,1.63,2.1,4.5,4.18,2.59,,,,,,,,
August,,1.73,9.39,1.51,1.7,1.92,3,6.18,1.81,2.76,2.1,3.83,5.29,2.66,3.62,2.69,2.21,4.04,2.57,2.72,4.24,6.64,2.15,,,,,,,,
September,,1.68,0.86,2.34,1.1,1.21,1.69,2.06,5.74,2.3,2.52,1.08,2.7,2.87,3.98,3.89,1.17,5.07,0.79,1.15,5.11,2.6,3.27,,,,,,,,
October,,2.17,3.02,4.12,2.46,3.17,3.6,3.29,1.63,3.06,3.27,1.73,0.33,4.09,4.17,4.19,2.92,1.98,4.74,3.92,2.18,0.79,3.29,,,,,,,,
November,,3.07,2.06,2.94,3.22,2.86,3.07,1.03,1.9,1.12,0.72,2.26,1.3,1.47,2.15,1.63,5.87,3.87,2.98,7.78,3.38,3.2,1.35,,,,,,,,
December,,5.65,4.73,1.13,6.52,4.71,2.45,1.37,3.18,4.01,2.39,1.74,3.88,3.25,2.74,2.27,0.51,3.22,2.04,4.55,3.31,0.98,0.9,,,,,,,,
Total,,23.93,42.72,30.43,30.18,33.88,32.47,30.37,28.91,31.56,32.71,18.73,32.2,32.39,37.08,29.3,31.14,38.51,29.51,29.16,37.4,34.39,27.68,,,,,,,,
